page 1	MAIL SUPPLEMENT TO THE HONGKONG DAILY PRESS.
page 4	THE BACCARAT SCANDAL.
page 4	FRANCE AND THE YANGTSZE VALLEY DISTURBANCES.
page 4	BIRTHDAY HONOURS.
page 4	THE NORTH BUCKS ELECTION.
page 4	THE OAKS.
page 4	THE ORIENTAL CONGRESS.
page 4	FURTHER PAPERS ON THE MANIPUR AFFAIR.
page 4	ITALY AND THE TRIPLE ALLIANCE.
page 4	THE BONAPARTIST PROGRAMME.
page 4	SERIOUS RIOTS IN SPAIN.
page 4	THE CZAREWITCH IN SIBERIA.
page 4	THE BACCABAT CASE ON TRIAL.
page 5	Evonts worthy of record have since the departure of the last mail been somewhat few. The Chief Justice, Sir James Russell, has left for a short holiday in Japan. Mr. E. J. Ackrovd, the Acting Puisne Judge, Filling his position mean while.
