page 1	MAIL SUPPLEMENT TO THE HONGKONG DAILY PRESS.
page 2	EXCITING NIGHT IN A CHINESE VALLAGE.
page 2	SINGULAR EXTRADITION CASE.
page 3	THE GREAT FIRE AT MANILA.
page 3	EARTHQUAKE IN LUZON.
page 3	THRILLING EXPERIENCE OF THE REV. J. PARKER.
page 3	HIS ESCAPE FROM THE REBELS.
page 3	THE "PEKING GAZETTE" AND THE RECENT RITINGS.
page 3	SHOCKING TRAGEDY IN CENTRAL CHINA.
page 3	PEKING.
page 3	TONKIN.
page 4	HONGKONG.
page 4	FOOCHOW.
page 4	SHANGHAI.
page 4	NANKING.
page 4	YOKOHAMA.
page 4	BANGKOK.
page 7	THE DISCLOSURE OF THE PLANS OF MALTA'S DEFENCES.
page 7	THE CHARGE AGAINST THE LATE OPIUM FARMER.
page 7	WITHDRAWAL AND APOLOGY OF THE PROSECUTION.
page 7	FOREIGN TRADE OF CHINA IN 1891.
page 7	KOREA.
page 7	HE TSUNG-LI YAMEN AND THE MASON CASE.
page 8	MORE LIGHT ON THE HUNAN QUESTION.
page 8	THE NORTHERN REBELLION.
page 8	CHINKIANG.
page 8	WUCHANG.
page 8	NANKING.
page 8	A JAPANESE EXPLORER IN FORMOSA.
page 8	SCIENTIFIC MISCELLANY.
