page 2	IT is not possible at the present moment to say much about the progress of negotiations between the Powers concerning the settlement of Chinese affairs.  We had a week ago the terms of the French proposal which offered the best plan so far put forward to meet the requirements.
page 3	"DAILY PRESS" SERVICE.
page 3	THE CRISIS IN CHINA.
page 3	LORD SALISBURY AND THE FRENCH NOTE.
page 3	JAPAN'S REPLY ANXJOUSLY AWAITED.
page 3	GENERAL NEWS.
page 3	THE U. S. COTTON CROP.
page 3	REUTER'S SERVICE.
page 3	SOUTH AFRICA.
page 3	MR. CHAMBERLAIN'S FOREIGN POLICY.
page 3	RESULT OF THE CZARWITCH.
page 3	THE ELECTIONS.
page 3	THE CRISIS IN CHINA.
page 3	THE FUSILIERS AND OTHERS TO RETURN TO HONGKOG.
page 3	THE TROUBLE IN DWANGTUNG.
page 3	THE REBELS BEHEAD 30 PRISONERS.
page 3	SHANGHAI'S DEFENCE SCHEME.
page 3	SANDAKAN NOTES.
page 3	GOVERNOR HUGH CLIFFORD'S RESIGNATION.
page 3	MR. W. G. DARBY'S MARRIAGE.
page 3	SHIPPING NEWS.
page 3	RUSSIA AND MANCHURIA.
page 3	LATEST STEAMER MOVEMENTS.
page 3	JELEBU MINING & THADING CO.
page 3	JOINT STOCK SHARES.
page 3	LATE TELEGRAMS.
page 3	THE ELECTION.
page 3	LORD CURZON SUGGESTED FOR THE WAR OFFICE.
page 3	MR. GOSCHEN.
page 3	A TRIBUTE OT INDIA.
page 3	A LIBERAL RALLY.
page 3	LORD SALISBURY'S WEAK MANIFESTO.
page 3	THE LIBERAL PRESS AND THE MINISTERS.
page 3	LIBERALS SUPPORTING LABOUR CANDIDATES.
page 3	LETTER FROM NATAL AGENT GENERAL.
page 3	OTHER NEWS.
page 3	THE WAR IN SOUTH AFRICA.
page 3	FORTIFICATIONS FOR PERSIAN PORTS.
page 3	PEKING PALACE "DESECRATED BY BARBARIANS"
page 3	THE CHINA TEA TRADE.
page 3	U.S. TROOPS NOT SUBJECT TO GEN. WALDERSEE.
page 3	CHURCH SERVICES.
page 3	ST. JOHN'S CATHEDRAL.
page 3	UNION CHURCH.
page 3	ST. PETER'S CHURCH.
page 3	DR. MORRISON'S DESPATCH.
