page 1	MAIL SUPPLEMENT TO THE HONGKONG DAILY PRESS.
page 6	THE ITALIAN MINISTER TO THE UNITED STATES.
page 6	THE AUSTRALIAN FEDERATION.
page 6	THE NEW FOUND LAND DIFFICULTY.
page 6	THE SUICIDE AT THE CENTRAL POLICE STATION.
page 6	MAGISTERIAL ENQUIRY.
page 6	SECRET SOCIETIES IN WESTERN SHANTUNG.
page 6	PARLIAMENT ADJOURNED.
page 6	DEATH OF LORD TRURO
page 6	THE BRITISH REVENUE RETURNS.
page 6	DHULEEP SINGH RECEIVED BY THE QUEEN.
page 6	RIOTS IN SLIGO.
page 6	THE IRISH DELEGATES IN AMERICA.
page 6	SOCIALISM AND DYNAMITE IN BELGIUM.
page 6	THE BONAPARTE FAMILY.
page 6	MURDER OF A BULGARIAN MINISTER.
page 6	ITALY AND THE UNITED STATES.
page 6	THE NEW FOUND LAND DEPUTATION.
page 6	CIVIL SERVICE EXAMINATION.
page 6	SIR DAVID BAROUR'S SCHEME FOR A GOLD CUERENCY FOR INDIA.
page 6	MR. CAINE'S VERACITY.
page 6	THE ACCIDENT TO THE "COSSACK."
page 6	THE CONTAGIOUS DISEASES ACT IN INDIA.
page 6	PUBLIC INDIGNATION AGAINST ACTORS IN BOMBAY.
page 6	THE CENSUS IN INDIA.
page 6	SERIOUS OUTBREAK AT MANIPUR.
