page 2	ALTHOUGH war has been the normal condition of humanity since first, a naked savage, man walked over the face of the earth; there seems to be nothing so much under the iufluence of the fashion of the hour as the art of fighting.
page 3	A CURIOUS DECREE.
page 3	REQUISITIONS ON THE SOUTH EASTERN OFFICIALS.
page 3	A NEW EDICT PUNISHMENT PROMISED.
page 3	GERMANY'S REQUEST TO THE POWERS.
page 3	REUTER'S SERVICE.
page 3	THE ELECTIONS.
page 3	GERMANY AND CHINA.
page 3	THE FOWERS AND CHINA.
page 3	THE ELECTIONS.
page 3	LOCAL MOVEMENTS.
page 3	LATEST STEAMER MOVEMENTS.
page 3	JOINT STOCK SHARES.
page 3	A FRENCH WRITER ON THE COLONISATION OF CHINA.
page 3	CONSULAR REPORT.
page 3	MISSIONARIES IN CHINA.
page 3	THEIR RESPONSIBILITY FOR THE PRESENT TROUBLE.
page 5	IN WHITE RAIMENT.
page 5	WILLIAM LE QUEUX.
page 5	CHAPTER XIV.
page 5	A THEORY.
