page 1	MAIL SUPPLEMENT TO THE HONGKONG DAILY PRESS.
page 4	THE QUEEN'S JUBILEE.
page 4	THE HEALTH OF THE EMPEROR OF GERMANY.
page 4	THE PUBLIC HEALTH BILL.
page 4	MEETING OF CHINESE RESIDENTS.
page 4	HAWAIIAN ANNEXATION IN THE PACIFIC.
page 4	THE MAYOR OF NEWCASTLE KNIGHTED.
page 4	THE UNIONIST LIBERALS AND THE EIGHTY CLUB.
page 4	AN AUSTRALIAN FARMING COMPANY.
page 4	DOUBTFUL ASSETS.
page 4	ANTI ROYALIST FRANCE.
page 4	AUSTRO HUNGARY AND RUSSIA.
page 4	MR. O'BRIEN ALLEGES AN ORANGE PLOT TO KILL HIM.
page 4	RUSSIA AND FRANCE.
page 4	FATHER KELLER RELEASED.
page 4	AN ARISTOCRATIC DIGGER.
page 4	THE CYCLING CHAMPION.
page 4	SCENES IN THE COMMONS.
page 4	HONOURS FOR THE COLONIES.
page 4	THE PAPACY AND ITALY.
page 4	THE AUSTRALIAN MAIL CONTRACT.
page 4	THE DUKE AND DUCHESS OF CONNAUGHT.
page 5	THE IMPERIAL INSTITUTE.
page 5	REPORTED ATTEMPT ON THE LIFE OF THE CZAR.
page 5	THE FIRE AT THE OPERA COMIQUE.
page 5	GERMAN ASSISTANCE IN BRITISH LEGISLATION.
page 5	STRIKE IN THE IRON TRADE.
page 5	THE ROYAL INSTITUTE'S COSTUME BALL.
page 5	DEATH OF A DANISH ADMIRAL.
page 5	PRESENTATION OF ADDRESSES TO THE QUEEN.
page 5	THE PIT-BROW WOMEN.
page 5	BOGUS HAVANNAHS.
page 5	FIRE ON BOARD A STEAMER.
page 5	THE ANNEXATION OF ZULULAND.
page 5	THE FRENCH EXHIBITION.
page 5	BURSTING OF A SUBTERRANEAN RIVER.
page 5	THE TEA STEAMER.
