page 3	THE WAR AND IMMIGRATION INTO AMERICA.
page 4	THE RAILWAY IN CHINA.
page 4	POLO FOR CHARITY.
page 4	"THE REST" RECEIVE THE CABBAGES.
page 4	HONGKONG LEGISLATIVE COUNCIL.
page 5	OPERATIONS IN GALLIPOLI.
page 5	SUBSTANTIAL SUCCESS ACHIEVED.
page 5	FALL OF LEMBERG PROBABLE.
page 5	RUSSIANS' LAST DESPERATE STAND.
page 5	FIERCE FIGHTING NEAR ARRAS.
page 5	ENEMY SUFFERS HEAVY LOSSES.
page 5	BOTHA'S FURTHER SUCCESS.
page 5	SANGOINARY FIGHTING IN GALLIPOLI.
page 5	SUBSTANTIAL SUCCESS ACHIEVED BY THE FRENCH.
page 5	TRENCHES TAKEN AND RETAKEN.
page 5	ENEMY'S HEAVY LOSSES.
page 5	SUBMARINE SUPPLY SHIP CAUGHT.
page 5	FALL OF LEMBERG PROBABLE.
page 5	RUSSIANS MAKING LAST DESPERATE STAND.
page 5	THE NEW BRITISH WAR LOAN.
page 5	MOST ATTRACTIVE INVESTMENT OF MODERN TIMES.
page 5	ORGANISATION OF MUNITIONS.
page 5	GREEK WAR POLICY.
page 5	M. VENEZELOS' SIGNIFICANT STATEMENT.
page 5	TRIBUTES TO A DEAD HERO.
page 5	COTTON FIRE IN FRANCE.
page 5	FURTHER FIERCE FIGHTING NEAR ARRAS.
page 5	ENEMY USES POISON BOMBS.
page 5	BRITISH ATTACK ATROUD FESTUBERT.
page 5	ENEMY'S SEVERE LOSSES.
page 5	BOTHA'S FURTHER SUCCESS.
page 5	ACTIVE HOSTILITIES TO BE RESUMED.
page 5	DE WET SENTENCED TO SIX YEARS' IMPRISONMENT.
page 5	"WAR IS HOLY."
page 5	TRANSFORMATION OF GERMAN RELIGION.
page 5	PRESIDENT WILSON AND THE AMERICAN NAVY.
page 5	"NO INTIMATION OF AGGRESSION."
page 5	PRAISES SECRETARY DANIELS.
page 5	NO BLUSTER ABOUT SHIPS.
page 5	QUICKENS MEN'S PULSE.
page 6	PRESSENT CONDITIONS IN CHINA.
page 6	REFLECTIONS OF A HIGH CHINESE OFFICIAL.
page 6	MEN AND MUNITIONS.
page 6	RESOURCES OF THE BELLIGERENTS.
page 6	AMERICAN ESTIMATE.
page 7	THE FRENCH ARMIES.
page 7	COMPOSITION OF GREAT BATTLE LINE.
page 7	CANADIANS' REFUSAL TO SURRENDER.
page 7	THRILLING EPISODE OF THE YPRES FIGHTING.
page 7	"HEROIC WITHOUT POSE."
page 7	FRENCH OPINION OF THE BRITISH.
page 7	POSITION OF SWITZERLAND.
page 7	HER ONE DESIRE IS TO WORK AND LIVE.
page 7	HER ONLY DEMAND.
page 7	A HUNGARIAN PROFESSOR ON THE ENGLISH.
page 7	"ONLY ENGLISHMEN CAN ACQUIRE POWER."
page 7	WAR BY POISON AND DISEASE.
page 7	APPALLING EVIDENCE OF GERMAN BARBARITY.
page 7	GAS VICTIMS' AGONY.
page 7	INHUMAND TORTURL.
page 7	WATER INFECTED WITH DISEASE.
page 7	TEH F.M.S. WAR HOSPITAL.
