page 1	MAIL SUPPLEMENT TO THE HONGKONG DAILY PRESS.
page 4	THE CURRENCY QUESTION IN MANILA.
page 4	FORGOTTEN GRAVES.
page 5	AN AMERICAN CORRESPONDENT'S DESCRIPTION OF THE QUEEN.
page 5	HER MAJESTY'S VISIT TO ILD WEST SHOW.
page 5	M. Rouvier's Cabinet is mostly composed of persons hitherto unknown.
page 5	A turbalent demonstration consisting of several thoussad persons in favour of General.
page 5	The German steamer Oder has struck on a rook and became a total wreck off Socotra III.
page 5	RAILWAYS IN FORMOSA.
page 5	PROPOSED MODIFICATION OF THE EMIGRATION ORDINANCE.
page 5	GOLD MINING IN CHINA.
page 5	THE NINGPO MERCHANTS AND RAILWAY SHARES.
page 5	THE PROTECTION OF CHRISTIANS IN CHINA.
page 5	DISTURBANCE IN THE FUHKIEN PROVINCE.
