page 2	THE Governor's fulminetion a month or two ago against the Manila lotlery hastiack such terror into the ticket brakers hat they have ceased bswkine, Tickels mav still be obtained in the Colong they have to be aought for insterd of hering.
page 3	A BOLD PROPOSAL.
page 3	RUSSIA AND AFGHANISTAN.
page 3	THE GOVERNORSHIP OF BOMBAY.
page 3	THE COPPER SYNDICATE.
page 3	THE NEW SOUTH WALES ELECTION.
page 3	THE GOVERNORSHIP OF SOUTH AUSTRALIA.
page 3	A BIG NUGGET.
page 3	SIR HENRY NORMAN.
page 3	ANOTHER ARREST UNDER THE CRIMES ACT.
page 3	DR. GEFFCKEN.
page 3	ACCIDENT.
page 3	THE WHITECHAPEL MURDERED.
page 3	ANOTHER CORNER.
page 3	PUGILISM.
