page 4	MUCH has been heard of late as to preparedness for war but as yet the ideas involved continue in a nebulous state Generally speaking, to the man in the street preparedness for war means conseription.
page 5	GREECE BOWS TO ALLIES' WILL.
page 5	DESPERATE FIGHTING AT VERDUN.
page 5	ARABIA REVOLTS AGAINST TURKEY.
page 5	FIERCE GERMAN ATTACKS ON RUSSIANS.
page 5	THE GREEK CRISIS.
page 5	ALL ALLIES' TERMS ACCEPTED.
page 5	NEW CABINET.
page 5	BATTLE OF VERDUN RESUMED.
page 5	FURTHER DESPERATE FIGHTING.
page 5	FURIOUS ARTILLERY BATTLE.
page 5	SUCCESSFUL FRENCH COUNTER ATTACK.
page 5	WELSH FUSILIERS TO THE FORE.
page 5	EJECT GERMANS FROM TRENCHES.
page 5	TRYING TO STEM THE RUSSUIAN TIDE.
page 5	FURIOUS GERMAN ATTACKS.
page 5	ARABS PROCLAIM INDEPENDENCE.
page 5	OPERATIONS AGAINST TURKS SUCCESSFUL.
page 5	"THE NEW REVOLT OF ISLAM."
page 5	ARABS PERCEIVE THE DOWNFAIL OF TURKS.
page 5	AUSTRIANS' STUBBORN RESISTANCE.
page 5	GERMAN SUBMARINE PUTS INTO SPANISH PORT.
page 5	THE SUBMARINE'S MISSION AND A BOAST.
page 5	RUSSIAN STEAMER MINED.
page 5	ANTI-GERMAN DUTCH.
page 5	STRONG FEELING IN EAST INDIES.
page 5	LORD KITCHENER.
page 5	HIS INSISTENCE ON PHYSICAD EFFICIENCY.
page 5	BRITISH BUDGET CHANGES.
page 5	AUSTRALIAN WHEAT FOR FRANCE.
page 5	FRENCH CHAMBER'S SECRET SESSION.
page 5	CONFIDENCE IN THE GOVERNMENT.
page 5	MEXICO ASKS FOR EXPLANATIONS.
