page 2	The Shanghai Hupao says:-A certain foreign mining engineer has estimated that in the province of Shanse there are 22,000,000 square lis of coal mine, from which 730,000,000,000 tons of coal can be obtained. And as 300,000,000 tons.
page 3	ROWDY CHINESE STUDENTS AT NIGPO.
page 3	THE LATE SIR ARTHUR KENNEDY.
page 3	THE LONDON PRESS AND SIR CHARIES DILKE.
page 3	THE SUFFERING IN LABRADOR.
page 3	COMMERCIAL EXCHANGE AT THE COLONIAL EXHIBITION.
page 3	AUSTRALIANS V. SURREY.
page 3	THE POPULATION OF QUEENSLAND.
page 3	THE NATIVE DISTURBANCE IN NEW ZEALAND.
page 3	MR. BOURKE OFFERD THE MADRAS GOVERNORSHIP.
page 3	MINISTERIAL APPOINTMENTS.
page 3	RE-ELECTION OF MINISTERS.
page 3	AN AUTUMN SESSION.
page 3	THE BELFAST RIOTS.
page 3	LORD ROSEBERY ON BATOUM.
page 3	THE MEETING OF THE EMPERORS AND THE TRIPLE ALLIANCE.
page 3	THE TURKISH ABMY.
page 3	THE MEDITERRANEAN SQUADRON.
page 3	PORTUGAL, THE VATICAN, AND INDIA.
page 3	HEALTH OF THE TROOPS IN BHAMO.
page 3	BURMAH AFFAIRS.
page 3	THE MYSORE GOLD MINES.
page 5	THE ANGLO-CHINA BURMAH CONCENTION.
page 5	CANADA AND THE FAR EAST.
page 6	THE TYPHOON ON THE CHINA COAST.
page 6	FATAL AFFRAY AT NAGASAKI.
