page 2	AN Imperial Decree of some little interest, though of unwonted brevity, was issued at Peking on the 9th inst. Translated, it runs as follows:- The ropairing of sowerage and waterways in the city of Peking has been neglected for many years.
page 3	THE CONSERVATIVE PARTY AND THE COLONIES.
page 3	STATE EMIGRATION.
page 3	THE FEDERATION QUESTION.
page 3	THE TELEGRAPHIC RATES.
page 3	AUSTRALIA AT THE COLONIAL EXHIBITION.
page 3	THE CAROLINE ISLANDS.
page 3	GOSCHEN AND THE RADICALS.
page 3	THE GOVERNORSHIP OF TASMANIA.
page 3	TORRENS' ACT IN ENGLAND.
page 3	THE NEW GUINEA AFFAIR.
page 3	THE BURMAH QUESTION.
page 3	THE REGENCY OF BRUNSWICK.
page 3	THE AUSTRALIAN CONTINGENT.
page 3	MARSEILLES A CLEAN PORT.
page 3	DUTCH EXPLORATION OF NEW GUINEA.
page 3	LORD CARRINGTON'S DEPARTURE FOR NEW SOUTH WALES.
page 3	COLONIAL PEERS.
page 3	HANLAN DEFEATED BY TEEMER.
page 3	EXECUTION OF RIEL.
page 3	DEATH OF GENERAL M'CLELLAN.
page 3	FRENCH POLITICS.
page 3	FREYCINET'S WOULD-BE ASSASSIN.
page 3	THE EASTERN QUESTION.
page 3	GERMAN NEW GUINEA.
page 3	SAMOA.
page 3	FIRE OF BOARD A STEAMER.
page 3	GOLD DISCOVERIES.
page 4	LIFF IN PATAGONIA.
page 4	A CURIOUS HOMAGE.
page 4	OUR AMBASSADORS TO RUSSIA.
