page 3	HONGKONG WEEKLY SHARE REPORT.
page 4	PRESIDENT  OF CHINA.
page 4	HIS INAUGURAL ADDRESS.
page 4	PIRACY IN KWANGTUNG.
page 4	EFFECT ON PASSAGE RATES.
page 4	COURT MARTIAL BAND SERGEANT BEFORE THE COURT.
page 4	ANOTHER SERCEANT IN TROUBLE.
page 4	ALLEGED TO HAVE APPLIED CERTAIN MESS FUNDS TO HIS OWN USE.
page 4	ANOTHER SERGEANT IN TROUBLE.
page 4	ALLEGED TO HAVE APPLIED CERTAIN MESS FUNDS TO HIS OWN USE.
page 4	THE CAPTURE OF WAICHOW.
page 4	VICTIORY FOR DR. SUN'S FORCES AT LAST.
page 5	HONGKONG LEGISLATIVE COUNCIL.
page 5	SUPPLY BILL IN COMMITTER.
page 5	"PLAYING THE GAME" IN PHILATELIC SOCIETY.
page 5	THE CIRCULARISATION OF STAMPS.
page 5	SOLICITOR ENGAGED TO RECOVER A VALUABLE PACKAGE.
page 5	THE POWER OF THE BAILIFF IN HONGKONG.
page 5	INTERESTING SUMMARY COURT JUDGMENT.
page 5	REMEMBRANCE.
page 5	MOTOR-CARS COLLIDE.
page 6	BAND CONCERT LAST NIGHT.
page 6	A SUCUESSFUL EVENING.
page 6	FAR EASTERN CABLE NEWS.
page 6	THE PEKING DIPLOMATIC INCIDENT.
page 6	EXPLANATIONS ACCEPTED.
page 6	THE CAPTIVE LADY MISSIONARIES.
page 6	"BANDITS READY TO NEGOTIATE."
page 6	SCIENTIFIC RESEARCH IN CHINA.
page 6	JAPANESE LABOUR IN CANADA.
page 6	IMPORTANT DECISION BY JUDICIAL COMMITTEE OF PRI YT COUNCIL.
page 6	ADVERTISING IS A TRADE ESSENTIAL.
page 6	OPPORTUNITIES IN JAPAN.
page 6	CANADLAN GONTROLLER OF CHINESE IMMIGRATION.
page 7	IMPERIAL CONFERENCE AND SINGAPORE.
page 7	PLAN ATTACKED BY "DAILY MAIL".
page 7	ECONOMIC CONFERENCE.
page 7	NAVAL DEFENCE AND WIRELESS.
page 7	SOUTH AFRICAN LOAN UNDERWRITING PROCEEDING.
page 7	PAPAYUS SPLENDED GALLOP.
page 7	EVEN MONEY PAPYRUS.
page 7	MR. LLOYD GEORGE IN AMERICA.
page 7	HIS HEALTH IMPROVED.
page 7	A TRIBUTE TO LINCOIN.
page 7	THE MARK.
page 7	UNREST IN GERMANY.
page 7	SAXON PREMIER TALKS OF AN ILLEGAL ARMY.
page 7	BAVARIAN AND SAXON GOVERN MENTS DISAGREE.
page 7	MORE FOOD DISTURBANCES.
page 7	PANEL DOCTORS ON STRIKE.
page 7	THEY REFUSE TO ARBITRATE.
page 7	ARMS SMUGGLING.
page 7	BIG SEIZURE ON THE "PRESIDENT CLEVELAND."
page 7	FIREARMS AMMIUNITION AND DYNAMITE.
page 7	INTERNATIONAL LAW.
page 7	LORD BLRKENREAD'S REVIEW.
page 7	AUTHORITY WEAKER SINCE THE WAR.
page 7	INDEPENDENT LABOUR.
page 7	BRITISH POLICY AND RUSSIA.
page 7	LABOUR AND THE EMPIRE.
page 7	WHITE SETILERS IN THE TROPICS.
page 7	KILTS AND BAGPIPES.
