page 2	La Galissoniere arrived either late last night or earthy this morning H.M.S. Champion appeared off the port at 10 a.m. During the afternoon another French vessel turned up making. six French ships in all We can only make out.
page 3	AMERICA.
page 3	CHINESE LABOUR AT THE EAST.
page 3	WHAT CLEVELAND WILL DO.
page 3	THE MARCH OF EMPIRE.
page 3	THE HAWAIIAN TREATY.
page 3	J GOURD'S INCOME.
page 3	THE OPIUM TRAFFIC.
page 3	THE PORT OF BUENOS AYRES.
page 3	TROUELE ON THE CONGO.
page 3	A PRIEST BURNED TO DEATH BY BRIGANDS.
page 3	BISMARCK'S NOTE TO THE PRESS.
page 3	DEPRESSED BRITISH INDUSTRIES.
page 3	CABLE COMPETITION OR COMBINATION.
page 3	EFFECTS OF BRITSH PROCRASTINATION.
page 3	GREAT BRITAIN.
page 3	GLADSTONE'S BIRTHDAY.
page 3	THE SECRETARY OF STATE FOR THE COLONIES.
page 3	EARTHQUAKES IN EUROPE.
page 3	MISCELLANEOUS.
