page 1	MAIL SUPPLEMENT TO THE HONGKONG DAILY PRESS.
page 2	THE OPENING OF THE ALICE MEMORIAL HOSPITAL, HONGKONG.
page 2	AMATEUR CONCERT AT THE LOSITANO CLUB HONGKONG.
page 2	HONGKONG FLOWER SHOW.
page 2	THE HONGKONG LAND COMMISSION.
page 4	AFFAIRS IN IRELAND.
page 4	M. PAUL BERT ON TONQUIN INDUSTRIES.
page 4	THE CHANCELLOR OF THE EXCHEQUER'S SEAT.
page 4	MR. CHAMBERLAIN AND THE IRISH DEMANDS.
page 4	THE MINISTRY AND THE UNIONISTS.
page 4	CARRIAGE OF THE AMERICAN MAILS.
page 4	THE HEALTH OF LORD RANDOLPH CHORCHILL.
page 4	THE LEASE OF THE BURMAH RUBY MINES.
page 4	THE UNITED STATES AND THE FISHERIES QUESTION.
page 4	THE KHAN OF KALA ABDULIA.
page 4	OBITUARY.
page 4	THE EMPEROR OF GERMANY AND THE ARMY BILL.
page 4	CALLING UP THE GERMAN RESERVES FOR PRACTICE.
page 4	THE POWERS AND THE SITUATION.
page 4	TEH PANIC ON THE HOURSES.
page 4	THE BULGARIAN QUESTION.
page 4	RE-OPENING OF THE TRADE OF THE NILE VALLEY.
page 4	THE ITALIAN REVERSES AT MASSOWAH.
page 4	THE PRINCE OF WALES AND IRELAND.
page 4	BANK OF ENGLAND RETURNS.
page 4	ENGLAND AND BELGIUM.
page 4	FRENCH PROTECTION.
page 4	GERMANY AND THE TRANSVAAL.
page 4	THE FISHERIES DISPUTE.
page 4	THE UNITED STATES AND HAWAIL.
page 4	THE KERMADEC ISLANDS.
page 4	THE NEW COMET.
page 4	THE PRENCH IN THE PACTIFIC.
page 4	THE IMPERIAL CONFERENCE.
page 4	THE AUSTRALIAN MAIL SERVICE.
page 5	THE IMPERIAL INSTITUTE.
page 5	THE PROPOSED NEW PACIFIC CABLE.
page 5	THE ADELAIDE EXHIBITION.
page 5	A TRANS-CONTINENTAL RAILWAY FOR AUSTRALIA.
page 5	HOW GERNERAL GORDON SIVED MY LIFE.
page 5	CHINA AND JAPAN.
page 5	SETTLEMENT OF THE NAGASAKI AFFAIR.
page 5	AMOY.
page 5	HANKOW.
