page 2	ADDRESSES BY THE NEW GERMAN EMPEROR.
page 3	THE RELATIONS OF THE NEW EMPEROR AND THE EMPRESS VICTORIA.
page 3	THE EUROPEAN SITUATION.
page 3	THE BOULANGER BUBBLE BURST.
page 3	BRITISH PARLIAMENTAY INTELLIGENCE.
page 3	THE NEW MEX-ICAN RAILROAD.
page 3	THE AYR ELECTION.
page 3	DEATH OF BALFE'S WIDOW.
page 3	SPAIN AND THE FRENCH EXHIBITION.
page 3	LORD JAMES DOUGLAS DISCHARGED WITH A WARNING.
page 3	A PARNELLITE BANQUET.
page 3	CANADA'S BAIT MONOPOLY.
page 3	A ROYAL BETROTHAL.
page 3	ILLEGAL SEAL-FISHING.
page 3	MRS. JAMES BROWN POTTER AND HER HUSBAND.
page 3	NEW VESSELS FOR THE AMERICAN NAVY.
page 3	THE PANAMA CANAL.
page 3	FEARS FOR DILLON.
page 3	FRENCH JOURNALISTS EXPELLED FROM BERLIN.
page 3	BALFOUR DENIES ANY INTENTION OF RESIGNING.
