page 1	MAIL SUPPLEMENT TO THE HONGKONG DAILY PRESS.
page 2	DISAPPEARANCE OF THE COMPRADORE OF THE HONGKONG AND SHANGHAI BANK.
page 2	LARGE DEFALCATIONS.
page 2	THE MERCHANT SHIPPING CONSO. LIDATION ORDINACE. 1891.
page 2	THE SECTIONS APPLYING TO PRIVATE STEAM LAUNCHES AND CARGO BOATS.
page 2	DEPUTATION TO THE GOVERNOR.
page 2	BRITISH MERCANTILE MARINE OFFICERS' ASSOCIATION SMOKING CONCERT.
page 3	THE FATSHAN SEIZURE.
page 3	HONGKONG RIFLE ASSOCIATION.
page 3	DEATH OF CAPTAIN CAZORLA.
page 3	THE BANK RATE OF INTEREST.
page 3	FOOCHOW.
page 3	THE HUNAN QUESTION.
page 3	THE GERMAN MINISTER.
page 3	MR. DRUMMOND AND THE LOLAO-HUI.
page 3	YOKOHAMA GENERAL CHAMBER OF COMMERCE AND TRADE IN JAPAN.
page 3	FILIAL PIETY IN JAPAN.
page 3	RISING OF ABORIGINES IN KANGSI.
page 3	THE CZAREWITCH'S RESCUER.
page 3	GALLANT RESCUE.
page 3	TIENTSIN.
page 3	THE SIBERIAN RAILWAY.
page 3	AMOY.
page 4	HONGKONG.
page 4	HANKOW.
page 4	SHANGHAI.
page 4	YUNNAN.
page 4	CHEFOO.
page 4	CHINAN FU.
page 4	NANKING.
page 4	SAIGON.
page 4	KOBE.
page 4	YOKOHAMA.
page 6	THE GERMAN CHANCELLOR AND THE EDUCATION BILL.
page 6	DISTURBANCE AT QUILIMANE.
page 6	SHANGHAI CUNTOMS REPORT FOR 1891.
page 6	LOCAL.
page 6	REVENUE.
page 6	FOREIGN TRADE.
page 6	COAST TRADE.
page 6	TRANSIT.
page 6	SHIPPING.
page 6	TASSENGER TRAFFIC.
page 6	TREASURE.
page 6	OPIUM.
page 6	MISCELLANEOUS.
page 6	OVERHEAD ELECTRIC LIGHT WIRES.
