page 4	THOUGH the terins of peace have yet to be agreed upon between the parties broadly distinguished as the North and the South, it is evident that a settliment is in progress. Though Tsai So and other of the .
page 5	STRONG GERMAN ATTACK AT VERDUN.
page 5	BRITISH COMMUNIQUE.
page 5	ENEMY SPRING MINES.
page 5	BAD WEATHER.
page 5	HAMPERS OPERATIONS.
page 5	HEAVY ENEMY ATTACKS.
page 5	MEET WITH FAILURE.
page 5	FIVE ENEMY ATTACKS REPULSED.
page 5	FLEBT BRING DOWN ZEPPELIN.
page 5	GERMAN REPLY TO AMERICA.
page 5	SUBMARINE WARFARE.
page 5	GALLANT FIGHT WITH A SUBMARINE.
page 5	BRITISH STEAMER'S ESCAPE.
page 5	WAR ON MERCHANTMEN.
page 5	SWEDISH SHIP BURNED BY PIRATE CAREW.
page 5	THE IRISH REVOLT.
page 5	NATIONALISTS TO ASK FOR DISARMAMENT.
page 5	SIR M NATHAN'S SUCCESSOR.
page 5	MORE REBELS SHOT.
page 5	DISCUSSION ON MILITARY BILL.
page 5	OBJMECTIONS TO MEASURE MAINLY ECONOMIC.
page 5	THE HEROES OF KUT.
page 5	LORD KITCHENER'S EULOGY.
page 5	FRENCH ARMY'S ADMIRATION.
page 5	TRIAL OF SIR ROGER CASEMENT.
page 5	TO TAKE PLACE PUBLICLY BEFORE CIVIL COURT.
page 5	IRISH IN THE TRENCHES.
page 5	THEIR ANSWER TO A GERMAN INVITATION.
page 5	SHANGHAI IRISHMEN'S RESOLUTION.
page 5	DEPRESSION IN SOFIA.
page 5	MANY DESERTIONS FROM THE ARMY.
page 5	SOUTH POLE RELIEF EXPEDITIONS.
page 5	AUSTRIAN CONSULATE OFFICIAL ARRESTED.
page 5	MENTIONED IN DESPATCHES.
page 5	PRESTON SPINNERS' DEMANDS.
page 5	DAYLIGHT SAVING BILL.
page 5	GROUP SYSTEM RE-OPENED.
page 5	DUNDEE EMPLOYERS AND THE STRIKE.
page 5	GREAT BRITAIN'S TRADE.
page 5	AN INTERESTING VISITOR.
page 5	A MUSLIM CEMETERY IN ENGLIND.
page 5	MEMORIAL TO CAPTAIN SCOTT UNVEILED.
page 7	GERMAN POSITIONS CAPTURED.
page 7	BRILLIANT ASSAULT BY THE FRENCH.
page 7	FRENCH ASSUME OFFENSIVE.
page 7	GERMAN POSITION BECOMING DANGEROUS.
page 7	FURTHER PROGRESS AT VERDUN.
page 7	CIVILIANS LEAVING METZ.
page 7	ARTILLERY ACTIONS.
page 7	RECIPROCAL BOMBARDMENTS.
page 7	A SUCCESSFUL RAID.
page 7	MORE RUSSIANS LAND IN FRANCE.
page 7	A TRIUMPHAL RETURN.
page 7	GREAT WELCOME GIVEN TO THE "WANDLE."
page 7	GERMAN STEAMER CAPTURED.
page 7	DRIFTED SEAWARDS IN A GALE.
page 7	SINKING OF THE "RIO BRANCO."
page 7	THE FATE OF THE L20.
page 7	CREW JUMP INTO THE SEA.
page 7	CHASED BY FRENCH CRUISER.
page 7	THE FINALE.
page 7	BERLIN ADMITS THE LOSS.
page 7	COMMANDER DESTROYS THE ENGINES.
page 7	ANOTHER ZEPPELIN DESTROYED.
page 7	ZEPPELIN RAID ON SALONIKA.
page 7	AIRSHIP REPORTED TO HAVE BEEN DESTROYED.
page 7	THE AIR RAID ON DEAL.
page 7	THE TROUBLES IN MEXICO.
page 7	GREAT STRIKES IN AMERICA.
page 7	MILLION MEN CEASE WORK.
page 7	THE REVOLT IN IRELAND.
page 7	THE KING THANKS THE TROOPS.
page 7	DEATH SENTENCES COMMUTED.
page 7	FOUR MORE REBERLS SHOT.
page 7	SITUATION QUIET.
page 7	PROBABLE RESIGNATIONS.
page 7	SIR ROGER CASEMENT'S TRIAL.
page 7	CONSCRIPTION FOR AUSTRALIA.
page 7	OPENING OF THE CAMPAIGN.
page 7	SHIPPING REQUISITIONED.
page 7	QUESTION OF LIMITING IMPORTS.
page 7	DAYLIGHT SAVING BILL.
page 7	ITS IMMEDIATE ADOPTION STRONGLY UBGED.
page 7	VENEREAL DISEASES.
page 7	EXPLOSION IN FRENCH FACTORY.
page 7	THE RIOTING IN GERMANY.
page 7	HERR LIEBKNECHT ARRESTED.
page 7	THE COMPULSION BILL.
page 7	READ A SECOND TIME.
page 7	GENERAL TOWNSHEND'S LAST MESSAGE.
page 7	LORD KITCHENER'S EULOGY.
page 7	BELGIAN SUCCESS IN THE CONGO.
