page 1	MINICOY ALMOST DEPOPULATED.
page 3	ALARMING RIVER ACCIDENT AT CANTON.
page 3	VOLUNTEER INSPECTIONS.
page 3	BOLIVIAN COMMUNISTS.
page 3	CHINESE FOR MEXICO.
page 3	JAPANESE "MARVELS OF PERFECTION".
page 6	TELEGRAMS.
page 6	JUDICIAL APPOINTMENTS.
page 6	STICKING TO THE STORY.
page 6	THE TIBET BLUE BOOK.
page 6	GOLD IN SCOTLAND.
page 6	THE SITUATION IN RUSSIA.
page 6	TSAR PROMISES REDRESS.
page 6	THE ST. PETERSBURG STRIKES.
page 6	KONDRATOVITCH.
page 6	A JAPANESE REPULSE.
page 6	SEVENTEEN THOUSAND CASUALTIES.
page 6	FIRE IN QUEEN'S ROAD.
page 6	THE HAMBURG AMERIKA S.S. "RHENANIA".
page 9	GREAT BRITAIN AND JAPAN IN 1854.
