page 2	THE riotous demonstration of natives on the foreign settlement at Hankow on the 4th instant, though fortunately unattended with disaster, is not without its lessons both for the British and the Chinese Governments.
page 3	DESTRUCTIVE TYPHOON IN TONQUIN.
page 3	CANTON.
page 3	FORMOSA.
page 3	FOOCHOW.
page 3	SHANGHAI.
page 3	CHEFOO.
page 3	TIENTSIN.
page 3	PEKING.
page 3	NEWCHWANG.
page 5	MAIL SUPPLEMENT TO THE HONGKONG DAILY PRESS.
page 6	THE EDGE OF THE EMPIRE.
page 6	HONGKONG AND ITS INHABITANTS. A PEN-PICTURE OF THE GIBRALTAR OF THE EAST.
page 6	SIAM.
