page 4	THE recent--and possibly inspired--statement, in a German periodical, as to the need of a rapprochement between Gemany and Japan would seem to point to a revisal of Germany's far Eastern polioy.
page 5	AMERICA AND AUSTRIA.
page 5	SECOND NOTE TO BE BENT.
page 5	GERMAN NAVAL LOSSES.
page 5	CRUISER AND TORPEDO BOAT SUNK.
page 5	HEAVY BOMBARDMENTS IN WEST.
page 5	GREEK PROTEST AGAINST ALLIES' ACTION.
page 5	MASTERLY FRENCH RETIREMENT.
page 5	GENERAL SARRAIL'S VIEWS.
page 5	AT SALONIKA.
page 5	GREECE PROTESTS.
page 5	BETTER FACILITIES FOR THE ALLIES.
page 5	RENEWED ACTIVITY IN RUSSIA.
page 5	LULL IN THE EAST.
page 5	GERMAN CRUISER AND TORPEDO BOAT SUNK.
page 5	GERMAN HYDROPLANE CAPTURED.
page 5	ARTILLERY ACTIVITY.
page 5	GERMAN MUNITIONS, FACTORY DESTROYED.
page 5	SMUGGLING RUBBER INTO GERMANY.
page 5	EIGHT THOUSAND POUNDS SEIZED IN POST.
page 5	UNIVERSITIES AND THE WAR.
page 5	PURSUIT OF ENEMY IN PERSIA.
page 5	AMERICA AND AUSTRIA.
page 5	SECOND NOTE BEING DRAFTED.
page 5	RECRUITING IN ENGLAND.
page 5	ANTI COMPULSION DEPUTATION "A BIG MISTAKE."
page 5	THE PREMIER'S PLEDGE.
page 5	GERMAN CONSPIRACY IN AMERICA.
page 5	IMPORTANT ARRESTS EFFECTED.
page 5	FIVE HUNDRED HORSES DROWNED.
page 5	THE SILVER MARKET.
page 5	PLEA FOR DUTCH EDITOR'S ACQUITTAL.
page 5	INDIAN AMBULANCE CORPS FOR EUROPE.
page 5	PRESIDENT WILSON WEDS.
page 5	OBITUARY.
page 5	SIR JOHN RHYS.
page 5	FRENCH STOCK.
page 5	ATTEMPT TO DESTROY HORSES FOR ALLIES.
page 5	GERMANY'S GENEROSITY.
page 5	FERMENT IN ROUMANIA.
page 5	M.P.'S WAR STORY.
page 5	ANOTHER MUNITION WORKS.
page 5	TALES FROM TURKEY.
page 5	DJEMAL PASHA TO LEAD REVOLT AGAINST ENVER.
page 5	STRAIN ON THE GERMANS IN RUSSIA.
page 5	THE CENSORING OF SOLDIERS' LETTERS.
page 5	AN AFFAIR OF THE HEART.
page 6	ALBANIA THE NEW THEATRE OF WAR.
page 6	ITALY TO PLAY THE LEADING ROLE.
page 6	ITALIAN CORPS LANDED IN ALBANIA.
page 6	AUSTRO-GERMAN TROOPS IN GREECE.
page 6	QUESTION OF ALLED LIMITS.
page 6	BULGARIAN EXACTIONS AGAINST GREEKS.
page 6	BULGARIANS ROMISE TO RESPECT GREEK NEUTRALITY.
page 6	GREEK TROOPS LEAVE SALONIKA.
page 6	THE SERBIAN ARMIES.
page 6	SERBIAN TROOPS INCORPORATED WITH BRITISH.
page 6	ALLIES' SOLID DEFENSIVE.
page 6	MACEDONIAN SITUATION.
page 6	GREEK FRONTIER QUIET.
page 6	GERMAN BOMBARDMENT SILENCED.
page 6	SEVERE CANNONADES.
page 6	GERMAN BATTERIES SILENCED.
page 6	GERMAN BOMBERS.
page 6	EASILY REPULSED.
page 6	GERMANS CONCENTRATING.
page 6	SUPERIORITY OF ALLIED GUNS.
page 6	RUSSIANS PREPARING NEW OFFENSIVE.
page 6	KURDS ENGAGED.
page 6	AND DRIVEN TO MOUNTAINS.
page 6	SUBMARINE WARFARE.
page 6	MORE STEAMERS SUNK.
page 6	AT THE DARDANELLES.
page 6	THE RECENT CRISIS IN PERSIA.
page 6	YOUNG SHAH'S PERPLEXITY.AUSTRIA AND AMERICA.
page 6	RELATIONS APPROACHING ORISIS.
page 6	POSITION GRAVE.
page 6	NOTE TO BE THOROUGHLY STUDIED.
page 6	AUSTRIA FAILS TO MEET DEMANDS.
page 6	BELGIAN OFFICIAL COMMITS SUICIDE.
page 6	THE RECRUITING QUESTION.
page 6	DEPUTATION OF ANTI-CONSCRIPTIONISTS TO THE PREMIER.
page 6	MORE MEN CALLED UP.
page 6	VISCOUNT FRENCH AND HIS SUCCESSOR.
page 6	TRIBUTES BY THE BRITISH AND FRENCH PRESS.
page 6	SIR DOUGLAS HAIG'S LEGS OF STEEL."
page 6	READY FOR PEACE.
page 6	HUNGARIAN COUNT'S DECLARATION IN PARLIAMENT.
page 6	SUCCESS OF RUSSIAN WAR LOAN.
page 6	NEW FISCAL SCHEME.
page 6	AFFAIRS IN PERSIA.
page 6	RUSSIANS ADVANCING.
page 6	RUSSIANS OCCUPY HAMADAN.
page 6	FATE OF BRITISH COLONIES.
page 6	CANADA AND WAR ORDERS.
page 6	EFFORT TO ESTABLISH CANADIAN CREDIT.
page 6	TERRIBLE BRILWAY ACCIDENT IN ENGLAND.
page 6	PASSENGERS BURNED TO DEATH.
page 6	HEARTRENDING SCENES.
page 6	MRS. ASQUITH SUES THE " GLOBE."
page 6	ALLEGED ACCUSATIONS OF WANT OF LOYALTY.
page 6	THE VICEROY OF INDIA.
page 6	RUMOUR DENIED.
page 6	OBITUARY.
page 6	EARL DE LA WAR.
