page 1	UNDER THE PUNKAH.
page 4	P.W.D. PLANS FOR KOWLOON.
page 4	SCHEMES FOR OPEN SPACES, BETTER ROADS AND LIGHTING.
page 4	THE CHILDREN'S PLAYGROUND BEGUN AT LAST.
page 4	PERMANENT ROAD SURFACING.
page 4	Reinforced Concrete Surface.
page 4	The Children's Playground.
page 4	ULLMANN'S JEWEL ROBBERY.
page 4	VALUABLES IN A MILK BOTTLE.
page 4	MISSING GOODS FOUND.
page 4	Split Reported in Gang.
page 4	The Coup.
page 4	PROBATE CASE ENDED.
page 4	TANGLED WILL PROBLEM.
page 4	SHENSI FAMINE REFUGEES.
page 4	TO BE USED IN RECONSTRUCTION WORK.
page 4	SHANGHAI-HANKOW AIR ROUTE.
page 4	INAUGURAL FLIGHT BY MR. SUN FO.
page 4	NEW PADRE FOR KOWLOON.
page 4	WELCOME IN ST. ANDREW'S HALL.
page 5	TRAFFIC IN OPIUM.
page 5	WOMAN FINED $2,000.
page 5	TWO STRANGE LETTERS.
page 5	OPIUM ON CANTON GUNBOAT.
page 5	THE CAPTAIN DETAINED.
page 5	NORTH AND EAST RIVERS.
page 5	VERY LOW WATER.
page 5	SAN FRANCISCO ENTERTAINS HONG KONG.
page 5	TIFFIN PARTY ABOARD S.S. MALOLO.
page 5	SIR ROBERT HO TUNG'S MESSAGE FROM CHINESE GENERALS.
page 5	U.S SYMPATHY WITH CHINA.
page 5	AMERICA, CHINA AND THE WORLD.
page 5	A Tribute to Hong Kong.
page 5	A Significant Visit.
page 5	ARMY OFFICER'S SPEED.
page 5	MOTRO-CYCLE KNOCKS DOWN GIRL.
page 5	FINE AND COMPENSATION.
page 5	Did Not See the Girl.
page 5	Speed a Matter of Opinion.
page 5	Compensation.
page 5	COLLEGE STUDENT IN A HURRY.
page 6	SOME MODERN MIRACLES.
page 7	PEACE MAY STILL PREVAIL.
page 7	NORTHERN FIGHTING DIES DOWN.
page 7	YEN TO MEDIATE.
page 7	An Incredible Report.
page 7	RAILWAY ROLLING STOCK COMMANDEERED.
page 7	FREIGHT TRAFFIC HELD UP.
page 7	MORE RECRIMINATIONS.
page 7	CHINA'S OPINION ON C.E.R. DISPUTE.
page 7	NANKING OFFICIALS DISMISSED.
page 7	DINNER FOR V.C.'S.
page 7	INDIAN HERO TO FLY TO LONDON.
page 7	OPIUM CASE TRIAL OPENS.
page 7	HUGE SMUGGLING RING SUSPECTED.
page 7	KAO YINGS IN THE BOX.
page 7	NEW FRENCH CABINET.
page 7	A RADICAL-SOCIALIST PREMIER?
page 7	LAST ENGAGEMENT IN CANADA.
page 7	PREMIER'S RETURN HOME.
page 7	DOCKERS WIN KARACHI STRIKE.
page 7	TEXTILE FIRM IN DIFFICULTIES.
page 7	BIG GERMAN HOUSE'S TROUBLES.
page 7	HEAVY LIABILITIES.
page 7	LOOKING AFTER THE SEAMEN.
page 7	FURTHER DECISIONS AT GENEVA.
page 7	SHIPOWNERS TO PAY!
page 7	IDEAS ON TROPICAL RESEARCH.
page 7	NOVEL PUBLICATION IN LONDON.
page 7	AMERICAN WATERWAYS.
page 7	A GIGANTIC SCHEME.
page 7	ATTACK N ITALIAN PRINCE.
page 7	INDIGNATION IN ROME.
page 7	SECOND ARREST IN BRUSSELS.
page 7	A Fatalist.
page 7	A Further Arrest.
page 7	Still In Custody.
page 7	Finally Released!
page 7	The Pope's Regrets.
page 7	PRESIDENTIAL "TRAIN WRECKING."
page 7	NOT QUITE SO SERIOUS!
page 7	"DEBACLE" IN STOCK MARKETS.
page 7	NEW YORK SLUMP HITS CANADA.
page 7	WHEAT PRICES DOWN.
page 7	Confluence Returning.
page 7	A Historic Day.
page 7	Canadian Exchanges Suffer.
page 7	DANISH BANK FAILS.
page 7	SUICIDE AS A RESULT.
page 7	LIFE IMPRISONMENT FOR ARABS.
page 7	THE SAFED RIOTS.
page 7	TWILIGHT SLEEP FOR CRIMINALS.
page 7	MAKING WITNESSES TRUTHFUL.
page 7	SUCCESSFUL TRIALS IN AMERICA.
page 7	"Preferred by the Innocent."
page 7	Dangers of the Method.
