page 1	THE NEW GRAND MOTHER.
page 2	ARMING THE POLICE.
page 2	CORONER APPEALS TO AUTHORITIES.
page 2	UNARMED MEN AGAINST BARBARIANS.
page 2	SHANCHAI'S CHINESE POSIMEN.
page 2	WANT NEW STYLE UNIFORM.
page 2	VILLAGE PLUNDERED NEAR SHANGHAI.
page 2	"TUFEIS" DISARM THE POLICE.
page 2	JAPAN'S MEMORIAL TO INVADERS.
page 2	MONUMENT ERECTED IN HONOUR OF ANCIENT BUDDHISTS.
page 3	A KENNEL MYSTERY.
page 3	ONE GREYHOUND DEAD FIVE ILL.
page 3	A FIRM HAND IN IRELAND.
page 3	DRASTIC NEW MEASURES DEATH PENALTY EXTENDED.
page 3	CARRYING OF ARMS.
page 3	FUTURE OF LIPTON'S.
page 3	NEW FINANCIAL ARRANGE MENT.
page 3	SHAPE PURCHASE.
page 3	ALLEGED BOYCOTT.
page 3	AUSTRALIA TO SEE MORE BRITISH WAR FILMS.
page 4	A GANG OF THIEVES.
page 4	SERIES OF THEFTS PROVED.
page 4	TWO MEN SEXT TO GAOL.
page 4	CHARGE OF ASSAULT.
page 4	CASE AGAINST CAPT McCARTHY.
page 5	LOCAL POLICE RESUME DUTY.
page 5	Conficting Reports Regarding Yeung Shek Wan.
page 5	THE THEFT OF JEWELLERY AT WING ON.
page 5	ACCUSED MAN AT THE MAGISTRACY.
page 5	IMPERSONATING A POLICE OFFICER.
page 5	CHARGES AGAINST ARMY SERGEANT.
page 5	HOSPITAL COMFORTS.
page 5	ALLEGED CONSPIRACY WING ON'S CHANDALERF BUSINESS RUINED.
page 5	FORMER EMPLOYEE CHARGED.
page 7	SHANSI-FENGTIEN FIGHTING NOW IN FULL SWING.
page 7	DICTATOR CHANG TSO LIN ORDERS A GENERAL ATTACK.
page 7	INTENDS PERSONALLY TO DIRECT HIS TROOPS.
page 7	SHANS BREAKS FIRST LINE OF FENGTIEN'S TROOPS IN A SUDDEN RUSH.
page 7	FENGTIENITES CLAIM TO HAVE DISARMED TWO BOMES OF SHANSI"COURIERS."
page 7	THE HOSTILITIES IN THE NORTH.
page 7	MARSHAL CHANG'S SUB JUGATION ORDER.
page 7	FENG READY TO FIGHT THE FENCTIENESE.
page 7	FENGTIENESE "FIRST LINE OF DEFENCE" BROKEN.
page 7	WHAT THE FENGTIEN TROOPS CLAIM.
page 7	FENGTIEN POWER CEN TRALISED IN CHANG TSO LIN.
page 7	SERIOUS TROUBLE IN SPAIN.
page 7	REVOLUTIONARY MOVE MENT SCOTCHED.
page 7	EFFECTIVE WORK OF SECRET POLICE.
page 7	BORODIN INTERVIEWED.
page 7	SAYS HANKOW GAVE HIM A POSULAR OVATION.
page 7	DECLARES MARSHAL FENG A REVOLUTIONARY.
page 7	THROUCH REUTER'S AGENCY.
page 7	JAPAN'S RICE CROP.
page 7	INCREASE ON EAST YEAR'S.
page 7	FRANCO-RUSSIAN DIFFERENCE.
page 7	MOSCOW BLAMES THE BRITISH GOVERNMENT.
page 7	THE RAKOWSKY PROBLEM.
page 7	THE SOVIET-PERSIAN AGREEMENT.
page 7	MORE ABOUT THE PACT.
page 7	M. CACHIN STANDS FOR SENATOR.
page 7	RECEIVES SIXTEEN VOTES.
page 7	LONDON'S LORD MAYOR IN ITALY.
page 7	RECEIVED BY THE ROYAL FAMILY.
page 7	WARMLY WELCOMED.
page 7	THE LEAGUE AND OPIUM TRAFFIC.
page 7	AN EXPRESSION OF VIEWS.
page 7	THROUGH RECTER'S AGENCY.
page 7	TELEPHONY BETWEEN.
page 7	LONDON AND CANADA.
page 7	INAUGURATED YESTERDAY.
page 7	U. S. A. AND BRITAIN.
page 7	SETTLEMENT OF PECUNIARY CLAIMS.
