page 4	HONGKONG LEGISLATIVE COUNCIL.
page 5	THE COVERNOR'S SPEECH.
page 6	THE COLONY'S MOST URGENT NEED.
page 6	THE NEW REGIMENT FOR HONGKONG.
page 6	LEFT ENGLAND ON OCTOBER TH.
page 6	REJUVENATION.
page 7	THE PEACE TREATY.
page 7	REVISED RESERVATIONS ADOPTED.
page 7	SENATE DISCUSSES RATIFICATION.
page 7	RATIFICATION ON NOVEMBER IST.
page 7	FRENCH SCHOOL OF WAR.
page 7	FOREIGN APPLICATIONS FOR TUITION.
page 7	MEXICO.
page 7	A NOTHER OUTRAGE ON AMERICAN CITIZEN.
page 7	SCENE IN N.S.W. PARLIAMENT.
page 7	CUALMINATION OF AN ALL NIGHT SITTING.
page 7	FAR EASTERN CABLE NEWS.
page 7	THE NEW STRAITS GOVERNOR.
page 7	CHINA AND THE PEACE TREATY.
page 7	REPATRIATON OF CHINESE LABOURERS.
page 7	LUK INTERVIEWED IN ROME.
page 7	POLICE RESERVE PRESENTATION TO MRS WIG GERRARD.
page 7	KING GEORGE'S GIFT TO FRENCH FARMERS.
page 7	STUDIES IN BOLSHEVISM.
page 7	LEGISLATION AND METHODS.
page 7	UNEMPLOYMHNT PAY.
page 7	CONTROLLING THE HANKS.
page 7	RUIN OF INDUSTRY.
page 7	ENGLAND'S FUTURE.
page 7	THE NEED FOR NEW DISCOVERIES.
page 7	VIEWS OF THE PRESIDENT OF THE BRITISH ASSOCIATION.
page 7	COAL AS NATIONIT ASSET.
page 7	SHAFT TWELVH MILES DEEP.
page 8	A DOCTOR ILL-TREATED.
page 8	CANED BY AN AMOROUS PATIENT.
page 8	"NO FREEDOM IN DISHONOUR."
page 8	HOW GENERAL BOTHA STAYD A RISING.
page 8	VOTES FOR WOMEN IN ITALY.
page 9	AN ARMY IN RAGS.
page 9	HOPELESS PLIGHT OF RUSSIAN ALLIES.
page 9	HUNGRY AND TOBACCOLESS.
page 9	OIL MAGNATE.
page 9	OUTRAGP AND TORTURE.
page 9	APPALLING CONDITIONS IN MEXICO.
