page 4	WE have before commented an the lack of reality in China's educational reforms, and particularly on the fact that years after education on modera lines was supposed to itave been enforced there were still to.
page 5	FRENCH AERIAL SUPERIORITY AT VERDUN.
page 5	THIRTY ONE ENEMY MACHINES BROUGHT DOWN.
page 5	SEVEN AIR FIGHTS.
page 5	GUNNERS AND MINERS BUSY.
page 5	THE RUSSIAN OPERATIONS.
page 5	SUCCESSES AGAINST GERMANS AND TURKS.
page 5	SITUATION IN EGYPT.
page 5	VON DER GOLTZ SHOT.
page 5	TURKS TIRED OF THEIR MASTERS.
page 5	THE FALL OF KUT.
page 5	GENERAL TOWNSHEND RETAINS HIS SWORD.
page 5	BRITISH STEAMER SUNK.
page 5	MORE VESSELS SUNK.
page 5	COLLIER V SUBMARINE.
page 5	PIRATE SHIP BEATEN OFF.
page 5	THE COMMANDER OF THE "AEGUSA."
page 5	A BLOODLESS VICTORY.
page 5	ALL RUMANIAN FLOUR BOUGHT.
page 5	FOOD FOR WAR PRISONERS IN RUSSIA.
page 5	SWEDEN TRANSPORTING ENORMOUS QUANTITIES.
page 5	NIGERIA'S LOYAL NATIVES.
page 5	RULERS' CONTRIBUTIONS.
page 5	IRISH REVOLT.
page 5	WHOLESALE SURRENDERS.
page 5	DRAMATIC SCENE AT SURRENDER.
page 5	CRIMINALITY OF FANATIOS DENOUNCED.
page 5	PRINCE ALBERT'S HEALTH.
page 5	TEWKESBURY BYE-ELECTION.
page 5	FAMOUS POLO PLAYER MISSING.
page 5	MILLITARY APPOINTMENTS.
page 5	NEW MASTER OF BALLIOL.
page 5	THE RISE IN SILVER.
page 5	CHECK ON EXPANSION OF CURRENCY WANTED.
page 5	STOP PRESS.
page 5	BRILLANT FRENCH SUCCESS.
page 5	ENEMY POSITION NEAR DOUAU MONT CAPTURED.
page 5	GENERAL COMPULSION.
page 5	IMPORTANT SPEECH BY THE PREMIER.
