page 1	MIAL SUPPLEMENT TO THE HONGKONG DAILY PRESS.
page 3	STRANDING OF THE SHIP "JOHN MLEOD."
page 3	A LONG VOYAGE IN AN OPEN BOAT.
page 3	THE CHIEF MATE'S NARRATIVE.
page 3	KOWLOON TRADE REPORT FOR THE YEAR 1891.
page 3	THE RECENT RIOT AT KIENNING.
page 4	MISSIONARIES IN CHINA WITHOUT PASSPORTS.
page 4	THE ICHANG CLAIMS.
page 4	NOTE ON THE UPPER YANGTSZE.
page 4	NOTES FROM CHINESE NATIVE PAPERS.
page 4	CHINA.
page 4	CANTON.
page 4	NORTH FORMOSA.
page 4	FOOCHOW.
page 4	CHINKIANG.
page 4	SHANGHIA.
page 4	NANKING.
page 4	HANKOW.
page 4	ICHANG.
page 4	CHUNGKING.
page 4	YOKOHAMA.
page 4	COCHIN-CHINA.
page 4	SIAM.
page 4	BANGKOK.
page 4	JAPAN.
page 4	KOBE.
page 7	THE EMPEROR OF GERMANY PRINCE BISMARCEK.
page 7	RESIGNATION OF MR. BLAINE.
page 7	THE TYPHOON.
page 7	LAPPA TRADE REPORT FOR THE YEAR 1891.
page 7	THE MILITARY ADMINISTRATION OF CHINA.
page 7	CHEFOO.
