page 1	MAIL SUPPLEMENT TO THE HONGKONG DAILY PRESS.
page 4	SERIOUS DISTURBANCES IN FUHKIEN.
page 4	CHANG CHIH-TUNG ON RAILWAYS.
page 4	LIU MING-CHUAN ON RAILWAYS IN CHINA.
page 4	SANGUINARY RIOTING IN BANGKOK.
page 4	FORMOSA.
page 4	SHANGHAI.
page 4	PEKING.
page 4	NEWCHWANG.
page 6	THE WAR IN UPPER EGYPT.
page 6	MR. GLADSTONE ON BIMETALISM.
page 6	DISASTROUS COLLIERY EXPLOSION IN FRANCE.
page 6	LOSS OF THE M. M. STEAMER "ANADYR."
page 6	THE RIOT AT HANKOW.
page 6	NINGPO.
page 6	KOREA.
page 6	WHAT ENGLISH MERCHANTS IN JAPAN THINK OF TREATY REVISION.
page 6	A SHARE CAUSE CELEBRE.
page 7	THE PAST AND FUTURE OF PAHANG.
page 7	NAGASAKI.
page 7	TOKYO.
page 7	BANGKOK.
