page 2	THE FRENCH GOVERNMENT AND THE WILSON TRIAL.
page 3	ANOTHER GREAT FIRE IN YOKOHAMA.
page 3	The Negus have moved their camp from Gundet, nearer to Massowah.
page 3	The Turkish Government has requested the British evacuation of Zeilah on the North Somali coast of the Gulf of Aden.
page 3	The Italians have occupied Seati, whither the Head Quarters are about to transfer. This is taken to presage further advance.
page 3	M. Stoudza has specially visited Count Kalnoky and Prince Bismarck for the purpose of declaring the sympathies of the Roumanians to be with the central alliance.
page 3	The Marquis of Ripon replying to an address at Kingstown, said that the objects of his visit.
page 3	HONGKONG.
page 3	MACAO.
page 3	CHINA.
page 3	SWATOW.
page 3	AMOY.
page 3	FOOCHOW.
page 3	SHANGHAI.
page 6	NOTES FROM SHANGHAI NATIVE PAPERS.
page 6	JAPAN.
page 6	YOKOHAMA.
page 6	COCHIN-CHINA.
page 6	SAIGON.
