page 1	CHINESE MARCONI AND VICKERS ISSUES.
page 2	CAR DRIVER'S RECKLESNESS.
page 2	THREE YEARS FOR LUIS FONTES FOR MANSLAUGHTER.
page 2	Black As Murder.
page 2	ALLEGED 40,000 DOLLARS FRAUD REVEALED AS "JOSS" FAILS.
page 2	DEATH OF RICHES PROMISED BY MYSTERIOUS ONE.
page 2	Spirit Writing Makes Youth Pay And Pay.
page 2	DEATH PREDICTED.
page 2	TRIES GOLD BAR EXCHAGE.
page 2	"ACTION MUST NOW BE TAKEN".
page 2	HERE AND THERE.
page 2	Little Items Of Interest.
page 2	STATISTIC.
page 2	PICTURES FOR THE QUEEN MARY.
page 2	THE LONGEST.
page 2	UNIQUE.
page 2	MR. THOMAS MARLOWE.
page 2	Editorship Of The "Daily Mail".
page 3	CHINESE ART TREASURES.
page 3	COMPLEMENTARY OT EUROPEAN.
page 3	A Revelation To Britain.
page 3	FRENCH SCIENTISTS CANCER TREATMENT.
page 3	THIRTY COMPLETE CURES CLAIMED.
page 3	Serum To Be Tested By Doctors In London.
page 3	"A VERITABLE RESURRECTION".
page 3	EXPERIMENT ON HIMSELF.
page 3	CHINESE GOOD WILL.
page 3	Weather Forecast Years Ahead.
page 3	AMERICAN SCIENTIST' CLAIM: "MAGNETOMETER".
page 3	LITTLE SNOW THIS WINTER.
page 4	STRIKE DELAYS BERGNER FILM.
page 4	2,000 DOLLARS A DAY LOSS TO ELSTREE.
page 4	Three Big Pictures Held Up.
page 4	NEW AGREEMENT.
page 4	"MAN ON THE FLYING TRAPEZE".
page 5	STEAMERS MAROONED IN ICE.
page 5	BEHIND THE SCREEN.
page 5	ONLY ONE ANNOUNCED.
page 5	A DENIAL.
page 5	"A NIGHT AT THE OPERA".
page 5	A PREVIEW.
page 5	"Broadway Melody Of 1936".
page 5	"BROADWAY MELODY OF 1936".
page 5	EARTHQUAKES FELT IN GERMANY.
page 7	SANITARY BOARD CEASE TO FUNCTION.
page 7	Urban Council's Phoenix Rising.
page 7	WIDER POWERS TO GOVERN.
page 7	BEEN TWITTED.
page 7	SELF GOVERNMENT.
