page 5	CHRONOLOGY OF THE YEAR.
page 6	OBITUARY.
page 6	MR. A. CHOPARD.
page 6	MR. E. H. MURRAY. OF SHANGHAI.
page 6	FR. MARC DECHEVERENS.
page 6	FOUNDER OF SICCAWEI OBSERVATORY.
page 7	POLITICAL WORLD RE-AWKENING.
page 7	POSITION PRACTICALLY UNCHANGED.
page 7	BULGARIA AND JUGO-SLAVIA.
page 7	A GRAVE SITUATION.
page 7	AN OUTLET FOR RUBBER.
page 7	CREPE RUBBER FOR FOOTWEAR.
page 7	GERMANY'S FLOATING DEBT. 
page 7	AN APPARENT REDUCTION.
page 7	THE "DIXMUDE" MYSTERY.
page 7	SURVIVORS STATED TO BE ON A RAFT.
page 7	REPORT ABOUT SURVIVORS NOT CREDITED.
page 7	LABOUR UNION BANKS.
page 7	INTERESTING INDUSTRIAL DEVE LOPMENT IN AMERICA.
page 7	ANGLO -AMERICAN RELATIONS.
page 7	NEW U.S. AMBASSADOR TO LONDON INTERVIEWED.
page 7	AMERICAN SHIP SOST.
page 7	FOUNDERS IN THE BLAOK SEA.
page 7	FAR EASTERN CABLE NEWS.
page 7	CHINESE CUSTOMS SURPLUS.
page 7	CHINESE BANDERS' REQUEST.
page 7	KIDNAPPED MISSIONARIES.
page 7	AMERICA PROTEST TO CHINESE FOREIGN OFFICE.
page 7	HOW THE LINCHENG "HERO" WAS EXECUTED.
page 7	RIVBHR PIRATES AT SHANGHAI.
page 7	A GANG CAPTURED.
page 7	THE CHINA PONY.
page 7	SHANGHAI EXPERT'S VIEWS.
page 7	GIVING AND GETTING.
page 7	SERMON BY THE REV. COPLEY MOYLE.
page 7	RETIREMENT OF CAPTAIN NELSON.
page 7	MARINE SUPERINTENDENT OF THE C.N.S.
page 7	SUICIDE?
page 7	EUROPEAN SHIP'S OFFICER FOUND DEAD.
page 7	INTERPORT SOCCER TRIAL GAME.
page 7	LAST NIGHT'S CARNIVAL.
page 7	JOY-MAKING AT REPULSE BAY.
page 7	ANOTHER PIRACY.
page 7	A JUNK THIS TIME.
page 8	SAYINGS OF QUEEN ELIZABETH.
page 8	DRIVING FORCE AND INCISIVENESS.
page 8	ON A NEW CRAZE.
