page 1	MAIL SUPPLEMENT TO THE HONGKONG.
page 2	OPIUM SMUGGLING BY CHINESE GUNBOATS.
page 2	THE TRANSMISSION OF MAILS TO JAPAN.
page 2	THE WAR IN FIRE INSURANCE RATES.
page 2	TYPHOON IN THE GULF OF SIAM.
page 2	THE KOBE LOT-HOLDERS.
page 2	A POINT OF NAVAL ETIQUETTE.
page 2	THE DESTRUCTION OF MAIMBONG BY THE SPANIARDS.
page 2	THE JAPAN SILK MARKET.
page 2	TEH TELEGRAPH BETWEEN CHINA AND EUROPE.
page 4	EGYPT.
page 4	THE FRENCH MINISTERLAL CRISIS.
page 4	HONGKONG ARTILLERY VOLUNTEERS GUN COMPETITION.
page 5	THE WRECK OF THE "TASMANIA."
page 5	THE AFGHAN BOUNDARY QUESTION.
page 5	SIR JOHN GORST ON AFFAIRS IN AFGHANISTAN.
page 5	THE IRISH DEMONSTRATIONS IN CANADA.
page 5	THE IMPERIAL INSTITUTE.
page 5	THE "TIMES" BREACH OF PRIVILEGE QUESTION.
page 5	THE LONDON JUBILEE ADDRESS.
page 5	OPENING OF HE JUBILEE EXHIBITION AT MANCHESTER.
page 5	THE PORTE SENDING IRONCLADS TO CRETE.
page 5	ENGLISH AUTHORITY IN DONGARETTA.
page 5	FRANCE AND GERMANY.
page 5	ENGLAND AND FRANCE ON THE SOMALI COAST.
page 5	SEVERE CYCLONE IN RANGOON.
