page 2	ANTI-CHINESE LEGISLATION IN THE UNITED STATES.
page 5	NAVAL AND MILITARY RIFLE MEETING.
page 5	THE EIGHT HOURS' BILL.
page 5	THE AGRICULTURAL HOLDINGS BILL.
page 5	THE LINCOLNSHIRE HANDICAP.
page 5	ANARCHISM IN FRANCE.
page 5	THE FIRST OF MAY DEMONSTRATIONS.
page 5	PORTUGUESE FINANCE.
page 5	THE PRUSSIAN MINISTRY.
page 5	THE EXODUS OF JEWS FROM RUSSIA.
page 5	THE RUSSIAN GARRISON AT MERV.
page 5	SIR F. GRENFELL'S SUCCESSOR.
page 5	THE BLAND SILVER BILL.
page 5	THE MAN WILLIAMS.
page 5	THE NEW INDIAN GUNEOATS.
page 5	A TRANSPORT IN A STROM.
page 5	EURASIAN REGIMENT.S
page 5	GENERAL VAN STRAUBENZEE.
page 5	THE HUNZA FUGITIVES.
page 5	MEMORIAL TO SIR R. SANDEMAN.
page 5	DEATH OF MISS VAN TASSEL.
page 5	FRAUDS IN BOMBAY.
page 5	THE BOMBAY DEATH RATE.
page 5	COLLAPSE OF AN INDIAN BANK.
page 5	THE GOVERNOR-GENERAL OF GOA.
page 5	THE AMIR'S MOVEMENTS.
