page 1	MAIL SUPPLEMENT TO THE HONGKONG DAILY PRESS.
page 2	PRIZE DAY AT ST. JOSEPH'S COLLEGE, HONGKONG.
page 2	THE RECENT FIRE AT AMOY.
page 2	RIOT AT WENCHOW.
page 4	RESIGNATION OF LORD RANDOLPH CHURCHILL.
page 4	THE MINISTRY.
page 4	THE FRENCH MINISTRY.
page 4	THE MONG KAI AFFAIR.
page 4	THE CONSOLIDATION OF THE BRITISH EMPIRE.
page 4	THE UNION LIPERALS AND MR. GLADSTONE.
page 4	AFFAIRS IN IRELAND.
page 4	MR. JOHN MORLEY AND HOME RULE.
page 4	LOSS OF A BRITISH SHIP.
page 4	ENGLAND, FRANCE, AND EGYPT.
page 4	GERMANY AND FRANCE.
page 4	THE PROPOSED INCREASE OF THE GERMAN ARMY.
page 4	GERMAN AND THE NEW EGYPTIAN SILVER COINAGE.
page 4	THE BULGARIAN QUESTION.
page 5	RUSSIA AND THE DARDANELLES.
page 5	NEW RUSSIAN MINISTER FOR FOREIGN AFFAIRS.
page 5	PRIVATE RELIEF EXPEDITION TO THE SOUDAN.
page 5	]THE AMERICAN FISHERY QUESTION.
page 5	THE SILVER QUESTION.
page 5	PRESIDENT CLEVELAND'S MESSAGE TO CONGRESS.
page 5	AFFAIRS IN BURMAH.
