page 2	CHANGES IN THE MACAO GOVERNMENT.
page 3	THE EMPEROR OF GERMANY'S TOUR.
page 3	MARRIAGE OF THE DUC D'AOSTA.
page 3	GENERAL BOULANGER.
page 3	ITALY'S ACTION AT MASSOWAH.
page 3	THE ANTI-GERMAN OUTBREAK IN ZANZIBAR.
page 3	DEATH OF MR. R.A. PROCTOR.
page 3	SIR CHARLES WARREN.
page 3	FRANCE AND THE AFRICAN SLAVE TRADE.
page 3	FRESH LOAN BY RUSSIA.
page 3	THE ENGLISH PRESS ON THE MURDER OF MAJOR BARTTELOT.
page 3	COUNT KALNOKY AND PRINCE BISMARCK.
page 3	TEH PAPNELL COMMISSION.
page 3	TEH REVOLT OF ISHAK KHAN.
