page 2	The Shogio Dempo says Messrs. Ikeda Kambei and Shibangawa Matahei propose to charter three English steamers at Kobe to open a regular line between Hongkong and Yokohama with the object of increasing the export from Japan.
page 3	LORD RANDOLPH CHURCHILL'S TOUR.
page 3	ARREST OF THE NOTORIOUS CAPTAIN MOONLIGHT.
page 3	THE RUSSIAN PRESS AND BULGARIA.
page 3	ANOTHER SEIZURE IN NOVA SCOTIA.
page 3	THE RUMOURED GOVERNMENT SCHEME FOR IRELAND.
page 3	DISCOVERY OF A COMET.
page 3	BUSINESS MEN AS CONSULS.
page 3	THE BARTHOLDI STATUE.
page 3	BERNHARDT AND PATTI.
page 3	INTERNATIONAL YACHT RACES.
page 3	ESQUIMALT TO BE FORTIFIED.
page 3	A DYNAMITE SCARE.
page 3	FRANCE WANTS CANADIAN TRADE.
page 3	FRENCH AND ENGLAND CANADIANS.
page 3	THE ALASKAN SEIZURES.
page 3	AN ACTIVE VOLCANO IN MEXICO.
page 3	THE BAN DOMINGO REBELLION.
page 3	A BIG SCHEME IN PERU.
page 3	MYSTERIOUS RAILWAY TRAGEDY.
page 3	FENIAN SCARE IN HULL.
page 3	SCULLING IN ENGLAND.
page 3	DUELING IN FRANCE.
page 3	GERMANY, FRANCE, AND ENGLAND.
page 3	SOCIALIST DEMONSTRATIONS IN GERMANY AND FRANCE.
page 3	FFAIRS IN GERMANY.
page 3	THE BULGARIAN TROUBLE.
page 3	THE EGYPTIAN QUESTION.
page 3	A BELEAGURED EGYPTIAN GARRISON.
page 3	PETROLEUM TRAINS IN EGYPT.
