page 4	By degrees the Press censorship in being relaxed . An innovation imported from Continental nations which have not attained to the same heights of freedom as ourselves.. it has been found in practive quite unsuited to our cirumstances.
page 5	BRITISH LINES GASSED NEAR YPRES.
page 5	GERMAN ATTACK EASILY REPULSED.
page 5	ENEMY'S "SEARCH" OF NORTH SEA.
page 5	PREPOSTEROUS TALE FOR HOME CONSUMPTION.
page 5	ARTILLERY DUEL IN GALLIPOLI.
page 5	VICOUNT FRENCH'S FAREWELL.
page 5	FIELD-MARSHAL FRENCH'S FAREWELL.
page 5	GLORIOUS ENDING TO WAR NOT FAR DISTANT.
page 5	ASSURED OF GLORIOUS FUTURE.
page 5	YOUNG RECRUITS.
page 5	MAGNIFICENT RESPONSE TO THE CALL.
page 5	LORD DERBY ON RECRUITING.
page 5	PROBABLE END OF THE WAR.
page 5	MADE IN GERMANY.
page 5	NAVAL CREATIONS FOR HOME CONSUMPTION.
page 5	GERMAN SCHEMES IN AMERICA.
page 5	YET ANOTHER PLOT DISCOVERED.
page 5	QUARREL ON "PEACE SHIP."
page 5	THE PILGRIMS' PROGRESS.
page 5	FIGHTING IN PERSIA.
page 5	SECOND "ANCONA" NOTE.
page 5	WHAT DEPENDS ON THE REPLY.
page 5	NORWEGIAN STEAMER SUNK.
page 5	BRITISH LINES GASSED.
page 5	ANTI-GAS MEASURES MOST SUCCESSFUL.
page 5	METZ BOMBAROED.
page 5	BOMBARDMENT OF GERMAN WORKS.
page 5	ARTILLERY ACTIVITY.
page 5	ARTILLERY DUEL AT DARDANELLES.
page 5	FAR EASTERN MEN AND THE WAR.
