page 1	MAIL SUPPLEMENT TO THE HONGKONG DAILY PRESS.
page 6	ENGLAND AND PORTUGAL.
page 6	DEATH OF THE PREMIER OF CANADA.
page 7	THE PRINCE OF WALES'S HEALTH.
page 7	THE WHITEHAVEN ELECTION.
page 7	A TRAGEDY IN WALER.
page 7	THE VICTORIAN RIFLE TEAM.
page 7	JACK THE RIPPER.
page 7	THE POSTAL CONFERENCE.
page 7	DAVITT VISITING NEW ZEALAND.
page 7	THE ANGLO-PORTUGUESE AFRICAN AGREEMENT.
page 7	THE NEW ORLEANS LYNCHING.
page 7	THE CHILIAN STEAMER "ETATA."
page 7	ATTEMPT TO ASSASSINATE THE PRESIDENT OF HAITI.
