page 1	MAIL SUPPLEMENT TO THE HONGKONG DAILY PRESS.
page 2	SANITARY EYESORES IN THE COLONY.
page 2	GUNPOWDER EXPLOSION AT SHANGHAI.
page 2	THE PROJECTED CHINESE NATIONAL POST OFFICE.
page 2	AFFAIRS IN TONQUIN.
page 2	THE PROGRESS OF THE NAGASAKI NEGOTATIONS.
page 4	THE SITUATION IN BULGARIA.
page 4	THE DEBATE ON THE ADDRESS IN REPLY TO THE QUEEN'S SPEECH.
page 4	GLADSTONE ON THE IRISH QUESTION.
page 4	OUTRAGES IN DERRY.
page 5	HOME RULE ACITATION IN SCOTLAND.
page 5	SEDITION IN INDIA.
page 5	FRANCE AND THE VATICAN.
page 5	THE CAROLINE ISLANDS.
page 5	THE PACIFIC CABLE PROJECT.
page 5	THE EARTHQUAKE IN GREECE.
page 5	THE AMERICAN EARTHQUAKES.
page 5	EARTHQUAKE IN NEW SOUTH WALES.
page 5	OBITUARY.
page 5	RUSSIA AND AUSTRIA.
page 5	ANNEXATION OF THE ELLICE ISLANDS DENIED.
page 5	THE TRADE UNION CONGRESS AT PARIS.
page 5	THE INTERNATION SOULLING SWEEPSTAKES.
page 5	ANGLO-AUSTRALIAN CRICKET.
page 5	RUSSIA, TURKEY, AND BULGARIA.
page 5	GENERAL BULLER IN COUNTY CLARE.
page 5	CHOLERA IN AUSTRO-HUNGARY.
page 5	A PROBABLE WAR IN ASIA.
page 5	ALLEGED RUSSIAN ANNEXATION IN MONGOLIA.
page 5	CANTON.
page 6	TIENTSIN.
page 6	PEKING.
page 6	NEWCHWANG.
page 6	NAGASAKI.
page 6	YOKOHAMA.
page 6	HAKODATE.
