page 1	MAIL SUPPLEMENT TO THE HONGKONG DAILY PRESS.
page 6	PORTUGUESE CURRENCY ACT.
page 6	ANTI FOREIGN DEMONSTRATION AT WUHU.
page 6	CONTINENTAL LABOUR MEETING GS.
page 6	THE PHILIPPINES AND THE SPANISH TREATY WITH THE UNITED STATES.
page 6	THE YANGTSZE INSURANCE ASSOCIATION, LIMITED.
page 7	THE CASE OF CAPTAIN VERNEY.
page 7	THE SITUATION IN EUROPE.
page 7	WATER IN THE DESERT.
page 7	MISCELLANEOUS ITEMS.
page 7	A BOMBAY MURDERER.
page 7	THE KOLAPORE REIEWAY.
page 7	THE MADRAS MISSIONARHY CASE.
