page 2	The Peiyang Squadron left Woosung on the 22nd ult. The Daily News says that while the Chinese crews were in Shanghai they appear to have behaved very well, for so far as it has been able to learn, only two sailors got into trouble.
page 3	LORD RANDOLPH CHURCHILL'S EXPLANATION.
page 3	GLADSTONE AND THE WELSH MEMBERS.
page 3	THIRTY SEATS OFFERED GOSCHEN.
page 3	SIR ARTHUR HAVELOCK UPHELD.
page 3	THE QUEE'S JUBLIES.
page 3	THE IRISH QUESTION.
page 3	THE IMPERIAL CONFERENCE.
page 3	THE PRINCE OF WALES ON THE CONTINENT.
page 3	THE STATE AID EMIORATION QUESTION.
page 3	RECOVEY OF STOCKS.
page 3	SOCIALIST PROCESSION INTERDICTED.
page 3	THE LOSS OF THE EMIGRANT SHIP "KAPUNDA".
page 3	ALLSOPP'S BREWERY.
page 3	THE AUSTRALIAN MAIL QUESTION.
page 3	INTERNATIONAL REGATTA AT NEW YORK.
page 3	EXPLOSION ON AN AMERICAN STEAMER.
page 3	THE POLITICAL SITUATION IN EUROPE.
page 3	AUSTRIA AND RUSSIA AGREED.
page 3	THE POPE'S ADVICE DISREGARDED IN GERMANY.
page 3	SOCIALIST RISING IN GERMANY.
page 3	RESIGNATION OF ITALIAN PREMIER.
page 3	M. MACLAY AND NEW GUINEA.
page 3	STANLEY AND EMIN BEY.
page 3	THE BLOCKADE IN THE SOUDAN RAISED.
page 3	THE PACIFIC CABLE COMPANY.
page 3	THE RUNING CHAMPIONSHIP.
page 3	THE PEDESTRUN CHAMPIONSHIP.
page 3	THE QUESTSLAND ABORIGINAL RUNNER.
page 3	POPULATION OF NEW SOUTH WALES.
page 3	TROUBLE SOME NATIVES IN NEW GUINEA.
