page 4	AT a time when the political outlook in China is overeast and "old China hands" are jnclined to affirm that progress in Cathay is impossible, it is a relief to be able to derive a little comfort form the rising generation.
page 5	FIERCE FIGHTING ON BRITISH FRONT.
page 5	SEVEN ENEMY ATTACKS REPULSED.
page 5	INTENSE BOMBARDMENT.
page 5	GERMAN LOSSES AT VERDUN.
page 5	0ACTIVITY ON RUSSIAN FRONT.
page 5	TURKISH ATTACK REPULSED.
page 5	THE FIGHTING AT KATIA.
page 5	WORCESTER YEOMANRY'S DETERMINED STAND.
page 5	GERMAN WARSHIPS' WRETCHED GUNNERY.
page 5	RAIDERS HIT REPEATEDLY.
page 5	MORE MERCHANTMEN SUNK.
page 5	BRITISH SUBMARINE SUNK.
page 5	HEAVY AUSTRIAN LOSSES.
page 5	AUSTRIAN INDIGNITY TO RUMANIA.
page 5	MILITARY ATTACHE ARRESTED.
page 5	DOUBLE TAXATION OF TEA.
page 5	THE IRISH INCIDENTS.
page 5	GERMAN CREW SINK VESSEL.
page 5	CORDON OF TROOPS SURROUND DUBLIN.
page 5	CASEMENT A PRISONER AT THE TOWER.
page 5	SERIOUS FEATURES.
page 5	MR. REDMOND'S DETESTATION AND HORROR.
page 5	AUSTRALIAN IRISHMEN'S ABHORRENCE.
page 5	MORE GROUPS CALLED UP.
page 5	THE MILITARY BILL.
page 5	RETENTION OF TIME EXPIRED MEN.
page 5	CRITICISMS FROM EVERY QUARTER.
page 7	BALACLAVA CHARGE ECLIPSED.
page 7	IMMORTAL DEED OF 500 AUSTRALIANS.
page 7	AUSTRALIAN PREMIER ON THE FIGHT FOR LIBERTY.
page 7	ALL FOR ONE.
page 7	COLD BLOOD BRAVERY.
page 7	TRAINING FOR ALL.
page 7	THE NEW GENERATION.
page 7	WHERE OUR DEMOCRATIC ARMY COMES FROM.
page 7	THE SPIRIT OF SPORTSMANSHIP.
page 7	WHY TIRPITZ FELL.
page 7	HERR BALLIN WINS THE DAY.
