page 2	"SINCE Mr. MAY'S death the Magistrscy has been altogether capsized." Such was the strangeremark made by AMEER KHAN during his trisl for shooting Mr. MADAR. What the state of the Magistracy had to do with the .
page 3	MACAO.
page 3	SWATOW.
page 3	SIR ROBERT HART'S SUCCESSOR.
page 3	TEH OPENING OF YUNNAN TO TRADE.
page 3	THE RUMOURED ANGLO-CHINESE ALLIANCE.
page 3	A CHINESE ARMY MEDICAL STAFF CORPS.
page 3	THE WHOLESALE MASSACRE OF CHRISTIANS IN ANNAM.
page 3	DISASTROUS INUNDATION AT CHINKIANG.
page 3	RAILWAY PROSPECTS IN CHINA.
page 3	ANTI-CHRISTIAN PERSECUTION IN TONQUIN.
page 4	FORMOSA.
page 4	NINGPO.
page 4	SHANGHAI.
page 4	CHINKIANG.
page 4	TIENTSIN.
page 4	NAGASAKI.
page 4	YOKOHAMA.
page 4	TOKIO.
page 4	VLADIVOSTOCK.
