page 4	PREVENTION OF WASTE.
page 5	DEMANDFORKAISER'S EXTRADITION.
page 5	FRENCHOCCUPY BUDAPES.
page 5	DOVER'S NARROW ESCAPE.
page 5	AMERICA'S NAVAL PROGRAMME.
page 5	THE COMING PEACE CONGRESS.
page 5	JAPAN'S TERMS.
page 5	FRENCH OCCUPY BUDAPEST.
page 5	OFFICIALLY GREETED BY HUNGARIAN REPUBLIC.
page 5	CHAOS IN GERMANY.
page 5	MAJORITY SOCIALISTS' POPULARITY.
page 5	TO CONTROL GERMAN LEGATION.
page 5	EXIT LUDENDORFF.
page 5	EXTRADITION OF THE EXKAISER.
page 5	FEELING IN FRANCE GROWING.
page 5	KING GEORGE'S VISIT TO PARIS.
page 5	GENERAL HOLIDAY ORDERED.
page 5	FRENCH MINISTRY OF MUNITIONS.
page 5	WAR HISTORY.
page 5	HOW DOVER WAS NEARLY WIPED OUT.
page 5	AMERICA'S NAVAL PROGRAMME.
page 5	OFFICIAL VICTORY CELEBRATIONS AT PEKING.
page 5	PEKING NEWS.
page 5	THE GERMAN COAL.
page 5	MAGNATES BRIBE TO THE PRESS.
page 6	BACK TO VENICE.
page 6	BATHING BESIDE BARBED WIRE AND BAYONETS.
