page 2	WE shall follow a long round, I expect, and very much doubt if May will nearly put an end to my long travels. I am the picture of health, as people tell me, and you may imagine how full of delight I am at the happy result of my journey and the glowing prospect ahead.
page 3	STEALING FISH.
page 3	THE ROBBERY ON THE "DOUGLAS".
page 3	ALLEGED THEFT.
page 3	DISHONEST SERVANTS.
page 3	ALLEGED ROBBERY OF $100.
page 3	UNLAWFUL POSSESSION.
page 3	ALLEGED ASSAULT.
page 3	STEALING A JACKET.
page 3	NOT PROVEN.
page 3	STEALING SHOES.
page 3	STEALING FIREWOOD.
page 3	KIDNAPPING.
page 4	SIGNS OF THE TIMES.
page 4	MARRIAGE OF CHARLES AND HENRIRTTA MARIA.
page 4	THE QUEEN REFUSES TO BE CROWNED.
page 4	IMPEACHENT OF BUCKINGHAM.
page 4	A ROYAL QUARREL IN BED.
page 4	QUEEN HENRIETTA MARIA'S MISCHIRVOUS ADVISERS SENT AWAY.
page 4	THE KING IN WANT OF MONEY-A FREE GIFT DEMANDED.
page 4	THE NIGHT FIGHT AT SEA-RELIEF OF BESIEGED ST. MARTIN'S.
page 4	THE ASSASSINATION OF BUCKINGHAM.
