page 1	各國共同制止中日戰爭已將趨入實現階段
page 2	時局日趨嚴重我國白銀運來港存貯首批五千餘萬元明日可運抵港華北時局日趨嚴重大戰有一觸即發之勢據此間 接消
page 2	籌賑旱災會昨沿門捐得善?千餘元
page 2	歐亞公司港平?照常航行
page 2	拒毒會舉行名流座談會
page 2	婦人服鴉片自殺
page 2	華北時局嚴重港燕梳公司訂特別兵險費
page 2	賑娞餘?萬餘金僑團贊同急匯賑華北兵?
page 2	少婦失足墬海
page 2	干諾道西錢檯?案押候
page 3	女撈家八六
page 3	巴黎劇盜的戀愛和兇殺
page 3	林飛熊武術歷?十四
page 3	毛蟲認路
page 3	青海的名產
page 3	糊塗先生九九
page 3	麝鹿
page 3	聯語
page 4	異哉香月之言
page 4	余總司令今日返省轉飛廬香翰屏談粵軍己枕戈待命
page 4	粵國貨運動會發起組各界拒私同盟
page 4	廣州理髮匠請恢復工會組織
page 4	甘灘開於三個月
page 4	時局嚴重商 爭稅潮亦趨沉寂
page 4	匪黨設狀元攤行騙
page 4	華北之桃花間諜
