page 1	日工展開幕告各界人士書
page 2	政變領袖准許富馬
page 2	仍任寮國總理
page 2	革命委會完全控制軍政大權
page 2	改組政府容許更多右派人士
page 2	美國獲得中共秘密文件
page 2	證明年青領袖
page 2	接管中共權力
page 2	英蘇續訂貿易協定
page 2	傑志挫加山戰績八比零
page 2	全港童子軍今日大會操
page 2	史隆講港電視事業發展
page 2	陳全自縊斃命遺妻訴苦
page 2	印尼通知港紗由印輪運
page 2	台灣麵粉繼續大量銷來
page 2	英國成人教育近況介紹
page 2	寮國革命委會控制實權
page 2	英首相荷姆說
page 2	西方國家與蘇戰爭危機消除
page 2	中共主張東西德統一為緩衝區
page 2	莎翁四百歲生辰紀念
page 2	蘇聯熱烈紀念老赫蒞會致意
page 2	英首相將報告聯邦會議
page 2	中共滲透非洲
page 2	美蘇減產核子原料中共反應憤怒
page 2	英人失業減少萬餘
page 2	英法會商寮國局勢
page 2	台灣電信管理局
page 2	開放立即長途電話簡化便捷
page 3	大馬今日選舉聯盟將再執政
page 3	以色列獨立第十六週
page 3	年紀念舉行閱兵儀式
page 3	日本全國各地交通事件頻生
page 3	徐柏園抵美談
page 3	台灣歡迎外商投資
page 3	不丹總理被刺後
page 3	中共保持緘默印邊界仍緊張
page 3	自由主義的變种
page 3	甘地天人昨指出印度面臨被侵畧
page 3	對聯大代表權蔣廷黻表樂觀
page 3	前途有困難也有機會
page 3	俞大維昨飛美
page 3	作一年一度之身體檢查並與有關方面洽商軍援
page 3	柬駐港領事來函更正
page 3	宋薩非柬王義子
page 3	世運會將設法安插旅客住宿
page 3	日本購糧代表抵台
page 3	外國資金流日大增
page 3	印尼外長晤澳大使
page 3	紐總理否認任英澳專使
page 3	詩人莎翁後裔選在佳節結婚
page 5	昨晚跑馬地黃坭涌道體育路口發生血案
page 5	童子慘遭刺斃
page 5	事後一個十五歲童子涉嫌被帶署查問
page 5	本港將以四千萬元訂購兩座
page 5	海水化淡機器
page 5	每座每日可產淡水三百萬加侖加供應
page 5	美國際貿易部要員透露
page 5	美國貿易展覽會
page 5	計劃明春在港舉辦
page 5	新樓空置日多
page 5	有人擁護徵差餉建議
page 5	定五月二日開闢榕樹灣小輪航線
page 6	入伙僅數月業主收回樓宇
page 6	陳全自吊斃命以死抗議迫遷
page 6	鄭賢玉對人哭訴丈夫系被迫死
page 6	強搶萬元鑽戒為救三條人命
page 6	押候七天待查身世宣判
page 6	獨行賊何葉森向法庭申辯
page 6	遺下一紙字條恫嚇不可追赶
page 6	因泊車起爭執研究交通則例
page 6	路易鄺張子璇被警方票控三罪
page 6	證供未畢還押今午續審
page 6	楊金容被控
page 6	投擲鏹水傷范月娥
page 6	泰籍男女被控
page 6	偷運十萬元嗎啡來港中央裁判署定期偵訊
page 6	陳錫光何植初跳樓自殺斃命死因尚成一謎
page 6	車牌大舞弊案陳成入獄五月
page 6	加連威老道
page 6	廿幢樓宇批准拆建
page 6	花園街亦拆九間
page 6	協助人蛇來港兩蛇頭判入獄
page 6	魚艙發生惡臭气息三個漁民先後暈去
page 6	六名棄嬰
page 6	由社會署料理
page 6	兩宗車禍三人受傷
page 7	日本工業展覽會
page 7	今晨開幕
page 7	周埈年爵紳主持剪彩典禮
page 7	反對電話公司增費
page 7	廠商會徵集會員意見
page 7	零售物價跌兩點
page 7	聯宴周大為
page 7	群益會餐舞籌款
page 8	符氏宗親總會今日成立大會
page 8	自置會所同是舉行開幕禮
page 8	副華民司林友棠
page 8	視察元嶺居民輪水街坊會請增設街喉
page 8	廣告聯誼會
page 8	廿九選第六屆新員
page 8	長沙灣街坊廿六日旅行
page 8	廠商會會長黃篤修飛英
page 8	花縣同鄉會
page 8	廿六日掃先友墓同晚新員就職禮
page 8	四會廣寧同鄉
page 8	廿六日春祭及大會
page 8	蘇浙鄉會研究投函
page 8	三月份
page 8	交通意外七四二宗受傷者共八二七人
page 8	廠商會新廈
page 8	加緊裝修中
page 8	裝修費四十萬元
page 8	九龍兩段官地下月再度開投
page 8	謂上資開投有壞人操縱
page 9	安置溫黛風災災民
page 9	沙田火炭谷決建屋徙置
page 9	徙置處長昨邀請災民代表座談謂政府按照戶口人數計算撥款
page 9	長洲鄉事會第三屆就職禮
page 9	促請減低電費擴建官立中學
page 9	改善現行漁業政策拯救漁民
page 9	早日解決平價飼料以甦農困
page 9	香港電台中文台訪博愛主席陳泰
page 9	長洲天文台气象站
page 9	將遷另一山頂該地以供發展
page 9	荃灣行劫傷人案可疑男子昨提堂
page 9	將循嚴重刑事程序進行控方暫不聆述押候下週
page 9	道聯會今歡餞
page 9	區煒森榮休
page 9	地址荃灣圓玄學院
page 9	沙田圍魚塘惊夢
page 9	四名少年撈取死魚看守人竟發槍傷人
page 9	村民對該魚塘中人咸表不滿
page 9	拒絕繼續供應水電以示抗議
page 9	荃灣副理民府
page 9	羅文將返英班禮士接充
page 9	適應人口激增學童日眾
page 9	荃灣公學擴建決增十二課室
