page 1	聯大今日將通過阿刺伯國提案解中東糾紛哈馬紹下週二赴黎巴嫩安排英美軍隊撤出黎約
page 2	兒童教育不容忽視
page 2	英美探取共同步驟恢復軍援伊國首批美援軍事物資已在伊起卸卡森重申與西方保持友好關係
page 2	北大西洋公約組織斡旋英與冰島捕漁海界糾紛折衷解辦法經已在望
page 2	美新衛星即行發射
page 2	杜爾斯返華府與艾總統密談白宮聲明沒有緊張性質
page 2	蘇聯供應中共乃是原子宣傳而非原子武器
page 2	黎京動亂未已爆炸暗殺事件繼續發生當局已放寬商業區交通限制
page 2	美國對華政策重估華府最近發表的「美國不承認中共政策」聲明,可以說是自一九四九年美國發表對華白皮書後另一次對華外交政策的有力表示。在中共積極展開軍事活動，台灣海峽形勢日益緊張，且聯合國大會將召開的前夕，美國作此義正詞嚴之聲明，顯然是具有深長意義的。
page 2	探視月球火箭亡美國本月十七日所放射失敗之探視月球火箭「雷神龍」未發射時之外貌，其下截為「雷神」火箭，上為「前鋒」衛星輸送器之第二、三兩截，全長八十英尺。左圖為「雷神能」之箭頭，用以探視月球環境者，重八三·八磅，內裝備有:月球磁力測驗器、小流星活動測量器，特製電視照相機等。
page 2	美海軍計劃利用噴射戰機發射人造衛星
page 2	艾克簽署法令互惠貿易延長四年
page 2	美再促蘇答覆解除兩國旅行限制建議
page 2	美海長強調氫彈神聖用途端在遏阻大戰並非戰爭正工具
page 2	停試核子偵察會議閉幕專家建議三項監察停試方法哈馬紹譽為足緩和裁軍問題
page 2	停試核子武器美國未作定英國繼續試驗核子武器
page 2	蘇方再促立刻終止核子試驗
page 2	瑪嘉烈公主放棄九千鎊不結婚代價
page 2	約軍事法庭昨宣判炸彈爆炸案
page 2	英政府今答覆蘇建議互締不侵公約應提高峰會議
page 2	阿沙開羅談判未涉沙國收回美軍基地問題
page 2	希恐怖份子請塞島希人對抗英計劃
page 2	法揆戴高樂抵赤道非洲繼赴馬達加斯加爭取支持法新憲
page 3	美超級軍刀機數月後運台灣訓練飛行員需更多時間中國空軍不必急切改革
page 3	菲律賓記者所見大陸人民沒有自由到處發現反共象徵星洲輿論指出美軍登陸絕無威脅
page 3	中共抨擊美黎締軍事協定
page 3	沙地阿刺伯總理訪開羅沙地阿刺伯儲君寮國務總理斐莎爾（中），八日十五日在開羅與那塞總統（右）開 議時之攝影。左方為阿刺伯聯合共和國秘書 沙達。
page 3	印尼否認進攻西新幾內亞不再向聯國提出此問題
page 3	葉公超下月赴美繼董顯光任大使蔣總統授勛具克萊
page 3	傳周恩來繙譯員逃緬要求庇護
page 3	日人起卸瑞士飛彈
page 3	美陸長布魯克東來訪問台韓各地視察陸軍設施
page 3	蘇濟艇五艘駛入英倫海峽
page 3	日發現箱屍案年松田涉嫌
page 3	拳王之戰萬人爭看
page 3	世界展泩
page 3	蘇報紙抨聲美不承認中共政策尼赫魯暗示蘇共不奉行共存原則
page 3	蘇聯報章強調中共入聯合國
page 3	貓王喪母哀痛異常
page 3	新探險者快進太空
page 3	聯大特別會議，原是為解中東問題而召開的。可惜美蘇集團都不能放棄干涉中東諸小國內政，遂使中東問題更為複雜，此乃禍亂之根源，根源不去，聯大會議論如何不會有成就的。
page 3	超級軍刀機
page 3	爭奪制空權
page 3	印尼歡迎英供軍火荷蘭激烈反對
page 3	大西洋城下月選美
page 3	東南亞婦女會議昨日在東京開幕
page 3	蘇聯選手參加競賽
page 3	民航機創紀錄橫渡過太平洋
page 3	原子彈炸廣島不死怪人尤索夫赴英供醫界研究身在爆炸中心意無恙百萬人中唯一幸運者
page 3	泰國嚴防共黨滲透
page 3	美原子濟艇「人魚號」此美國海軍潛水艇「人魚」號相信是世界之最巨型者。它在康狄克州閣老頓下水後，八月十九日駛至英國泰晤士河，它裝有兩副原子能推動機，身長四百四十七呎，載重五千九百噸（洋細請參觀八月卄日本報第一皆知第二頁）。
page 3	聯大的成就
page 3	美艦巡邏台灣海峽彭孟緝巡視烏坵島
