page 1	英政府照會日外省聲明英國决維護九國公約并請日政府解釋日外省所發之聲明美輿論界主張各國應一致向日警告日內閣通過反對列强干預中國政治
page 2	漢奸組織興華黨欲吸收失意軍人政客內容組織與保皇黨同
page 2	日軍又巡視寧河
page 2	俄機飛黑河偵察
page 2	日滿統制經濟問題偽組織已正式承認
page 2	孔祥熙日內赴贛說
page 2	蒙自治委會已成立
page 2	盧劉昨謁何應欽
page 2	李服膺部堵截楊猴小匪部
page 2	郝更生談視察各學校經過
page 2	萬福麟檢閱所部
page 2	遠運選手定期首途
page 2	伏熱之西南局面仍密雲不雨連日傳克筠門嶺謂欲避蔣所注意桂省無論如何須粵先動然後追隨粵秀樓前最好凉凉去
page 2	空氣祇是空氣李郁焜談香翰屏并無返省事
page 2	劇戰南豐勦匪情形血戰　晝夜傷亡七八千積屍三千餘生俘二千餘
page 2	江縣改善湯山溫泉池
page 2	財廳派員征收沙田稅潮汕　處人民必須快些預備
page 2	去年洋紙輸入之驚人數量年值一萬二千餘萬両
page 2	稅務署整飭官規是謂之官樣文章
page 2	警衞隊剌殺人案上訴再審謂其妻被死者强姦是非如何後回分解
page 2	各領用帋幣商號月內須籌還旣市惠於前乃施威於後
page 3	翁照垣陳友仁昨日同船離港翁赴西貢晤白崇禧代表陳擬在越稍留然後赴星
page 3	翁昨日離港首途
page 3	吳履遜由汕到港
page 3	陳友仁昨亦同行
page 3	陳公博昨已離港赴西貢本港紳商送行者多人陳氏對减稅之眞態度認定香港商務冷淡大都受世界不景影响
page 3	王志聖昨日抵港今晚赴廣州
page 3	跳水能手將乘飛機到港
page 3	收銀收條過二十元者務須貼士担庫務司昨日發出通告
page 3	金銀貿易塲下月興工改建
page 3	董咸亨抵港談楊德昭無南返意
page 3	防疫處長過港
page 3	粵建廳農林局長昨晚來港
page 3	露宿會今日會議
page 3	少婦果欲圖自殺乎
page 3	周錫年照常診症
page 3	建造工人失足跌傷
page 3	西南女分校美術專科擴充
page 3	香港年鑑昨已出版
page 3	杯足球今日再戰看誰奪得錦標歸
page 3	青年會古畫展覽
page 3	體育皇后今天公映二百元酬金徵求正確評論昨晨蒞場看片者千數百人
page 3	本港華資工廠之調查
