page 1	軍分會免孫殿英本兼各職孫部騎兵暫由于世銘統率并令晋綏甘青甯出兵討孫孫部仍積極向寧夏猛攻分四路進襲平羅
page 2	和闐回族進攻南疆獨立政府
page 2	劉桂堂部有竄黃河南岸企圖
page 2	接收楡關方案內容
page 2	日領須磨赴京履新
page 2	殷汝耕謁何應欽報告巡視平東情形
page 2	蔣在杭訪張學良
page 2	京滬路貨車脫軌
page 2	第七路後方辦事處竟突令撤銷難乎　為辦事人耳一說謂因蔣介石恐與粵聯絡太密一說則謂十九路將領欲急謀反攻
page 2	鄧龍光仍留省勷理戎務未知　何種戎務
page 2	總部又召開軍事會議太平之年何來軍事
page 2	會勘粵桂邊界又有消息可惜東四省無人勘
page 2	西南對孫殿英事不電示態度已知發電為無益之舉謝　邦亦算一可人兒
page 2	蔣介石之哲嗣小主席與車站士兵衝突紀
page 2	公園展覽後之黎苗問題向陳漢光鼓舞致謝
page 2	一九三四年之太平洋
page 2	伶人誘姦妻妹惹起糾紛又是關係燒猪問題
page 2	香翰屏在合浦辦學富貴歸故鄉耶
page 3	韻蘭回港之內因
page 4	錢銀檯東主王耀生身懷鉅欵被截搶收市回家　途遇搶匪
page 4	李福林程天固崔廣秀等昨日聯袂南返抵港崔昨謁胡漢民報告出席經過四中全會通過西南提案六欵能否依照方案切實施行尚成疑問
page 4	大會精神尚佳
page 4	黃旭初九日到港
page 4	李福林等同船回
page 4	海寧輪船在汕擱淺全船搭客由別船載返汕頭船主獲嘉氏適遇重病回港
page 4	李濟琛有赴澳門說其部屬故意散放空氣謂其已赴南洋　　實誤
page 4	印　放　人皆大失利多數轉行
page 4	七個私娼遞解出境
page 4	廢曆新年將屆內河輪船交通消息
page 4	中央放映巨片
page 4	新西遊記已出版
page 4	先施天台年宵賣物塲近訊
page 4	仿宋體咭片
