page 2	ONE of the most important items touched upon in the opening statement of His Excellency the Governor at Wednesday's meeting of the Legislative Council was that relating to the payment.
page 3	THE PEACE PROPOSALS.
page 3	THE RUSSIAN PRESS ON THE COREAN QUESTION.
page 3	CHINA'S OVERTURES FOR PEACE.
page 3	JAPAN REFUSES TO TREAT WITH SUBORDINATES.
page 3	MR DETRING RETURNS TO CHINA.
page 3	PACIFIC EXPRESSIONS BY JAPAN.
page 3	PEACE NEGOTIATIONS.
page 3	THE INCREASE OF THE BRITISH NAVAL FORCE.
page 3	A JAPANESE RUSE?
page 3	NAVAL NOTES.
page 3	EXTRAORDINARY SCENE IN THE SYDNEY PARLIAMENT.
page 3	THE LATE FIGHT WITH THE WAZIHIS.
page 3	OFFER OF A PUBLIC HALL AND FREE LIERARY FOR EOMBAY.
page 3	THE AMIR'S HEALTH.
page 3	ACCIDENT TO A WELL-KNOWN BROKER.
page 3	A SKIRMISH IN AFGHANISTAN.
page 3	FIRE IN THE RANGOON JAIL.
page 3	A ROYAL BURMAN MARRIAGE.
page 3	THE PREMIER'S SPEECH AT THE GUILDHALL.
page 3	THE PRESS ON THE SPEECH.
page 3	THE CHINA-JAPAN WAR.
page 3	THE BOATS OF A BRITISH STEAMER FIRSD.
page 3	THE PAMIRS QUESTION.
page 3	THE PRINCE OF WALES HON. COLONEL OF A RUSIAN REGIMENT.
page 3	SERICUS FIRE AT NEW ORLEANS.
page 3	PRESIDENT CLEVELAND'S MESSACE AND CURRENCY REFORM.
page 3	THE 'CAIEDONIA' BEATH THE RECOED.
page 3	THE FRENCH CAMPAIGN IN MADAGASCAR.
page 3	ISSUE OF AMERICAN BONDS.
