page 4	WE gather from translations appearing in the Japan Chronicle that prominent Japanese newspapers are seriously discussing the question of the alleged decline of morality in the Japanese.
page 5	THE MOROCCO TANGLE.
page 5	FRANCE REFUSES TO SUSPECT GERMANY OF DISLOYALTY.
page 5	CHANGE OF PROVINCIAL CAPITAL.
page 5	CANTON-MACAO RAILWAY.
page 5	GUN RUNNING IN FUKHIEN.
page 5	MOROCCO.
page 5	THE GALE IN GREAT BRITAIN.
page 5	THE U. S. ELECTIONS.
page 5	MR. TAFT.
page 5	AMERICAN ARMY SCHOOLS.
page 5	BRITISH STEAMER FOUNDERED.
page 5	KOREAN RIOTERS.
page 5	TOKYO EXHIBITION.
page 5	KOREA'S NATIONAL FUNDS.
page 5	THE TENYO MARU ON FIRE.
