page 2	WE publish in another column a letter from Sir Edmund Horny, late Her Majesty's Chief Judge in China and Japan, in regard to the flogging question.
page 4	THE WAR.
page 4	IN SUMMARY JURISDICTION.
page 5	LARCENY.
page 5	FIGHTING.
page 5	STEALING FISH.
page 5	H. E. KWOH SUNG TAO'S DIARY.
page 5	Manila.
page 5	PLEVNA AND DEFENCES.
page 6	PRINCE BISMARCK IN THE WILHELM-STRASSE.
page 6	SHARK AND ALLIGATOR FIGHT.
page 6	A SMALL BOY AT SCHOOL.
page 6	THE SUBTLE TACK-HAMMER.
page 6	BREACH OF PROMISE.
page 6	THE PENGE CASE.
page 6	THE INDIAN BASKET TRICK.
page 7	A "TRUSTWORTHY" SERVANT.
page 7	STEALING STONE.
page 7	A BAREFACED ROBBERY.
page 7	ROBBERY FROM THE PERSON.
page 7	GAMBLING.
page 7	DRUNKS AND CHAIRS.
page 7	ARRIVAL OF THE ENGLISH MAIL.
page 7	THELEGRAMS.
page 7	SIR EDMUND HORNBY ON THE RESIDENTS IN HONG KONG.
page 7	THE CHINESE ENVOYS.
