page 2	THE very large increase of the business of the Easteern Branch of the Equitable Life Insurance Society of the United States, has induced Mr. J. T. Hamilton, General Manager for the East, to.
page 3	GREAT BRITAIN AND RUSSIA IN THE FAR EAST.
page 3	WITH THE BRITISH FLEET IN THE NORTH.
page 3	THE SITUATION IN CHINA.
page 3	SHANGHAI OPINION.
page 3	THE NEW GOVERNOR OF HONGKONG.
page 3	THE FIRST STEP BY THE CHINESE.
page 3	THE SINGAPORE CONSUL-GENERAL ASKED TO ASSIST.
page 3	GREAT FIRE AT GLASGOW.-FOUR FIREMEN KILLED.
page 3	RESULT OF THE STRIKE.
page 3	HINDRANCES TO PRESS CORRESPONDENTS IN THE SOUDAN.
page 3	SIR GEORGE WRITE'S MISTAKES.
page 3	THE N. W. FRONTIER.
page 3	THE ENGINELES' STRIES.
page 3	THE SOUDAN.
