page 6	His Excellency seized the opportunity of a vote of $500 for grants-in-aid, and another of $250 for Government schools, to make a few remarks oneducational matters.
page 7	Police Intelligence.
page 7	LARCENY.
page 7	UNLAWFUL POSSESSION OF GOVERNMENT STORES.
page 7	LARCENY.
page 7	MORE STRAGGLERS.
page 7	THE TELEPHONE.
page 7	Miscellaneous.
page 8	WITHIN AN INCH OF HIS LIFE.
page 8	PIUS THE NINTH.
page 8	DE JOUR DE L'AN D'UN VAGABOND.
page 8	A GOOD BEGINNING.
page 8	IN PRISON.
page 8	IN THE COURTYARD.
page 8	INTERROGATORY.
page 8	IN HUMAN TYRANT.
