page 2	During the past week, the British troops in South Africa have met with some successes which encourage us in the belief that the tide is turning.
page 3	THE WAR.
page 3	BRITISH PRISONERS IN PRETORIA.
page 3	SOUTH AFRICAN IRREGULARS TREATED LIKE CRIMINALS.
page 3	RELEASE OF MEDICAL CORPS MEN.
page 3	THE IMPERIAL YEOMANRY.
page 3	VOLUNTEERS FOR CEYLON COMPANY.
page 3	THE WAR.
page 3	REINFORCEMENTS.
page 3	THE WAR --- ARMY ORDER.
page 3	CAPE COLONY.
page 3	NEW GUNS.
page 3	GERMANY AND JAPAN.
