page 2	THE meeting of the Legislative Council was made memorable yesterday by the fact that H.E. Sir William Robinson. delivered his last address in this Colony to the Council and to the residents of Hongkong.
page 3	SPAIN AND THE UNITED STATES.
page 3	BIMETALLISM.
page 3	THE NORTH-WEST FRONTIER OF INDIA.
page 3	TERRIBLE SUFFERINGS OF A TRAVELLER.
page 3	RUMOURED TRANSFER OF SIR CLAUDE MACDONALD.
page 3	MINTS AND RAILWAYS IN CHINA.
page 3	THE S.S. MOYUNE.
page 3	THE HOOLEY-JAMESON LOAN.
page 3	THE TORPEDO-BOAT DESTROYERS.
page 3	DEATHS FROM WILD ANIMALS.
page 3	THE SUGAR COMMISSION.
page 3	TRADE RETURNS.
page 3	THE FAMINE FUND.
page 3	ANTI-TYPROID SERUM.
page 3	THE ENGINEERING DISPUTE.
page 3	ACCIDENT ON A WARSHIP.
page 3	INDIAN ARMY NEWS.
page 3	THE FRONTIER TROUBLES.
page 3	THE SEDITION IN INDIA.
page 3	GREAT BRITAIN IN AFRICA.
