page 2	DANCING AND MATERIALISM.
page 3	JAPANESE ARMY MANOEUVRES.
page 3	A French Impression.
page 4	THE ROYAL FAMILY.
page 4	THE BRAHMAPUTRA FALLS.
page 4	Attempt to Soive the Mystery of the Great River.
page 5	CHINESE IN JAVA.
page 5	Expiantion of the Sourabaya Trouble.
page 5	CAPPING OF SHELIS.
page 5	CANTON NOTER.
page 6	HONGKONG SHOOTING SENSATION.
page 6	TRAGIC SEQUEL.
page 6	THE UNIVERSITY.
page 7	THE COAL STOPPAGE.
page 7	ISSUE IN THE BALANCE.
page 7	DRASTIC ACTION PROBABLE.
page 7	EFFECT ON TRADE UNIONS.
page 7	THE GERMAN SITUATION.
page 7	TRATFIC CONCESSIONS.
page 7	MINERS AGREE.
page 7	CONTINENTAL SITUATION.
page 7	THE CHINESE REBUBLIC.
page 7	YUAN SHIH-KATS AIMS.
page 7	ROUTING OUT CHINESE TROOPS.
page 7	THE DASH TO THE POLE.
page 7	FURTHER ENGROSSING DETAILS.
page 7	KINGLY CONGRATULATIONS.
page 7	ANOTHER TRIBUTE.
page 7	HOME RULE BILL.
page 7	SIMKEN SUBMARINE RAISED.
page 7	FIGHTING IN CANTON.
