page 2	ANY well directed effert on the part of the British officers of coasting vessels to im-prove their position is worthy of encourage-ment. Nothing is now to be obtained without combination and without unity of action.
page 3	TH DUNLO CASE.
page 3	ANGLO-PORTUGUESE DIFFERENCES.
page 3	THE OPIUM TRADE.
page 3	CHOLERA AT MECCA.
page 3	THE JEWS IN RUSSIA.
page 3	THE AUTUMN CAVALRY MANCEUIRES.
page 3	THE BEHRING SEAL FISHERY.
page 3	AN INSECT PEST IN EGYPT.
page 3	REDUCED BATES OF POSTAGE.
page 3	THE 'EGYPT' DISASTER.
page 3	SUICIDE OF A GUARDSMAN.
