page 2	Let us take the case of The Philippine Islands. It is simialr to that of Cuba except that Philippine demands for reform are not nearly so far reaching. They would be satisfied with.
page 3	DIPLOMATIC APPOINTMENT.
page 3	RECRUDESCENCE OF THE PLAGUE IN BOMBAY.
page 3	BYE ELECTION.
page 3	THE GOVERNORSHIP OF CRETE.
page 3	HONGKONG HIGH-LEVEL TRAMWAYS CO., LTD.
page 3	THE UNSETTLED STATE OF TONKIN.
page 3	PARTIAL STOPPAGE OF TRADE.
page 3	THE PHILIPPINE REBELLION.
page 3	A SENSATIONAL RUMOUR.
page 3	'FRAGRAN WATERS' MURMUR.
page 3	SOIIDE OF AN OFFICER.
page 3	THE INDIAN FRONTIER.
page 4	DIPLOMATIC APPOINTMENT.
page 4	RECRUDESCENCE OF THE PLAGUE IN BOMBAY.
page 4	BYE ELECTION.
page 4	THE GOVERNORSHIP OF CRETE.
page 4	HONGKONG HIGH-LEVEL TRAMWAYS CO., LTD.
page 4	THE UNSETTLED STATE OF TONKIN.
page 4	PARTIAL STOPPAGE OF TRADE.
page 4	THE PHILIPPINE REBELLION.
page 4	A SENSATIONAL RUMOUR.
page 4	'FRAGRAN WATERS' MURMUR.
page 4	SOIIDE OF AN OFFICER.
page 4	THE INDIAN FRONTIER.
