page 2	MESSES David Sasaoon, Sons & Co. inform us that the s.s. Arratoon Apcar, from Calcutta, left Singapore for this port to-day, and may be expected hore on or about the 16th inst.
page 3	THE STAUS OF FRNCH MAIL STEAMERS.
page 3	A DIFFICULTY ON BOARD THE 'CALEDONIEN'-HOW A MAN'S MEMORY WAS REFRESHED.
page 3	SUPREME COURT.
page 3	IN SUMMARY JURISDICTION.
page 3	LUCAS V. CURRAMBUX.
page 3	NEWS BY THE AMERICAN MAIL.
page 3	MOSBY VICTORIOUS.
page 3	YANKEE TALL TANK ABOUT ANNEXATION OF CANADA.
page 3	ORMONDE PURCHASED FOR A BIG SUM BY AN UNNAMED AMERICAN.
page 3	THE WAR IN AFRICA.
page 3	THE PARNELL INQUIRY.
page 3	SPANISH CABINET CRISIS.
page 3	THE EMPRESS FREDERICK.
page 3	A VICTORY FOR THE POPE.
page 3	SOCIALISTS ARRESTED.
page 3	ANOTHER CABLE COMPANY.
page 3	ANOTHER DUEL IN FRANCE.
page 3	AN EARTHQUAKE IN CANADA.
page 3	YALE DECLINES TO ROW.
page 3	ANOTHER ABSCONDER.
page 3	SAMOAN AFFAIRS.
page 3	THE P. AND O. COMPANY.
page 3	THE PROSPECTSOF SILVER.
page 3	THE EXCLUSION OF CHINESE.
page 3	HOW THE CHINESE HAVE RETALIATED.
page 3	GENERAL PRJEVALSKY.
