page 2	WE reproduced the other day a long dissertation by the Chinese Times on the position of Li Hung chang among the rulers of China. We do not know that any fereigner, or any Chinarnan for that matter understands the true 'inwards as' of Chinese government.
page 3	LATE TELEGRAWS.
page 3	MOSAIC OF THE TEMPLE OF JUPITER FOUND IN ROME.
page 3	ENGLAND AND THE POPE.
page 3	HOME NEW WALTZES.
page 3	CAUSR OF THE BRAZILIAN REVOLUTION.
page 3	HUGHES BALLETT'S RETURN SETS THE GOSSIPS TO TALKING.
page 3	THE INFLUENZA.
page 3	BISMARCK'S POSITION.
page 3	ENGLAND AND PORTUGAL.
page 3	A BRCEST MASSACRE DISTURBS THE CZAR.
page 3	LEADER OF THE COMMONS.
page 3	THE CZAR'S REVENGE ON THE ORLRANIST FAMILY.
