page 2	AN effort is being made by the police to prevent ricksha coolies' licences, granted to fit men, being transferred to unauthorised 'crocks and cripples'.
page 3	THE CHINA-JAPAN WAR.
page 3	THE HEALTH OF THE CZAR.
page 3	PROBABLE INCREASE OF THE HONGKONG GARRISON.
page 3	THE DUTCH IN THE DUTCH INDIES.
page 3	MILITARY SENSATION IN BERLIN.
page 3	THE BETROTHAL OF THE CZAREWITCH.
page 3	CONTRABAND OF WAR.
page 3	ANTI-FOREIGN FEELING IN PEKING.
page 3	CHINA.
page 3	THE PATHAN RELEASED.
page 3	WAR CLOUDS.
page 3	THE FRENCH ARMY MANEUVERS.
page 3	LIBEL ON THE PRESIDENT.
page 3	KHARTOUM.
page 3	THE TYPHOON.
page 3	EMPLOYMENT OF NATIVE PENSIONERS.
page 3	ROYAL HUMANE SOCIETY'S MEDAL.
page 3	SERIOUS RELIGIOUS RIGT IN POCNA-MOSQUE SACKED BY HINDUS.
page 3	THE AMEER'S VISIT TO ENGLAND.
page 3	THE GRIEVANCES OF STAFE CORPS OFFICERS.
page 3	AN INDIAN RAILWAY TO BE CONSTRUCTED BY PRIVATE CAPITAL.
