page 2	WE have before us a copy of a notice served upon residents in the Peak or Hill District by the Water Authority who is apparently taking measures to preserve the water supply of the Colony.
page 3	TRADE IN THE UNITED STATES.
page 3	AN ABSCONDING BANKER.
page 3	THE SITUATION IN CHINA.
page 3	HOME BULE POR IRELAND.
page 3	ENGLISH CRICKET.
page 3	THE BRITISH WAR DEPARTMENT.
page 3	ENGLAND GERMANY AND BELGLUM.
page 3	NIHITLIST OUTRAUE.
page 3	DISASTROUS BOILER EXPLOSION.
page 3	SAD ACCLDENT ON THE ELBE.
page 3	A HOVA GENERAL BURNT ALIVE.
page 3	THE NEXT AUSTRALIAN ELEVEN.
page 3	THE SILVER QUESTION.
page 3	TERRIBLE EXCESSES IN MACEDONIA.
page 3	REPUBLICAN RISINGS IN SPAIN.
page 3	HEAVY MORTALITY IN CUBA.
page 3	OPPOSITION TO LORD WOLSELEY'S PROMOTION.
page 3	BRITISH POLITICS.
page 3	DISGRACEFUL SCENE IN THE HOUSE OF COMMONS.
page 3	BRITAIN AND TURKEY.
page 3	HANGING A WOMAN.
page 3	SERIOUS FIRE AT SYDNEY.
page 3	THE AMERICA CUP.
page 3	THE ST. LEGER.
page 3	THE AMERICA CUP.
page 3	THE LIBERATOR FRAUDS.
page 3	INTERNATIONAL CHETSS CONGRESS.
page 3	REBELLION VENEZUELA.
page 3	GROUNDING OF THE 'WARRIMOO.'
page 3	A TERRIBLE TRAGEDT.
page 3	THE COWES REGATTA.
page 3	REPORTED ANARCHIST PLOT IN LONDON.
page 3	A PACIFIC CABLE. -- CALIPORNIA TO HONOLULU.
page 3	QUABREL BETWEEN PUGILISTS.
