page 2	AT the Magistracy to-day, the hearing was resumed of the charge of larceny from a private of the Hongkong Regiment on 18th January. There are now three prisoners under arrest for the theft of the twentyfour.
page 3	AN ITALIAN CRUISER ORDERED TO CHINA.
page 3	THE SITUATION IN THE FAR EAST.
page 3	THE DREYFUS CASE.
page 3	ANTI-SEMITIC DEMONSTRATIONS IN FRANCE.
page 3	ANOTHER GERMAN MISSIONARY ATTACKED IN CHINA.
page 3	MR. HOMEYER BEATEN AND ROBBED.
page 3	ENERCETIC ACTION BY THE GERMAN CONSUL AT CANTON.
page 3	HONGKONG AND SHANGHAI BANKING CORPORATION.
page 3	THE EARTHQUAKE AT AMBOINA.
page 3	GREAT LOSS OF LIFE.
page 3	NOTES FROM THE NORTH.
page 3	RETURNIG FRIENDS.
page 3	THE ACTIVITY OF THE KOLAO-HUI.
page 3	GUNS ARE BEING CAST.
page 3	THE APATHY OF THE NATIVE OFICIALS.
page 3	INCIPIENT REBELLION.
